source_id,laboratory_anchor,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,condition_kind,condition_label,replicate_label,measurement_batch_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!C3,P04196,PH,pH 4.9,Rep1,PMC6592156:PH:pH 4.9:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,9.0294948601137026,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!D3,P04196,PH,pH 4.9,Rep2,PMC6592156:PH:pH 4.9:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,9.0866864338998568,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!E3,P04196,PH,pH 4.9,Rep3,PMC6592156:PH:pH 4.9:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.7125949432049321,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!G3,P04196,PH,pH 6.1,Rep1,PMC6592156:PH:pH 6.1:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,9.6895226808002661,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!H3,P04196,PH,pH 6.1,Rep2,PMC6592156:PH:pH 6.1:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,10.331152379074419,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!I3,P04196,PH,pH 6.1,Rep3,PMC6592156:PH:pH 6.1:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,9.9937713269470425,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!K3,P04196,PH,pH 6.8,Rep1,PMC6592156:PH:pH 6.8:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,10.169713811434329,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!L3,P04196,PH,pH 6.8,Rep2,PMC6592156:PH:pH 6.8:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,9.3619330742167435,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!M3,P04196,PH,pH 6.8,Rep3,PMC6592156:PH:pH 6.8:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,9.9609291272581046,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!O3,P04196,PH,pH 7.7,Rep1,PMC6592156:PH:pH 7.7:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,9.1274217371245019,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!P3,P04196,PH,pH 7.7,Rep2,PMC6592156:PH:pH 7.7:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,9.3226801476716634,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!Q3,P04196,PH,pH 7.7,Rep3,PMC6592156:PH:pH 7.7:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,9.3976644365028772,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!S3,P04196,PH,pH 8.9,Rep1,PMC6592156:PH:pH 8.9:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.7447752642272238,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!T3,P04196,PH,pH 8.9,Rep2,PMC6592156:PH:pH 8.9:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,8.9060325311367112,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,3,pH!U3,P04196,PH,pH 8.9,Rep3,PMC6592156:PH:pH 8.9:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.9541890075208475,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!C4,P01024,PH,pH 4.9,Rep1,PMC6592156:PH:pH 4.9:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,9.5762127019143524,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!D4,P01024,PH,pH 4.9,Rep2,PMC6592156:PH:pH 4.9:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,9.5609647600185834,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!E4,P01024,PH,pH 4.9,Rep3,PMC6592156:PH:pH 4.9:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,9.3525082763461302,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!G4,P01024,PH,pH 6.1,Rep1,PMC6592156:PH:pH 6.1:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.3530987427092516,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!H4,P01024,PH,pH 6.1,Rep2,PMC6592156:PH:pH 6.1:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,8.5679905112192092,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!I4,P01024,PH,pH 6.1,Rep3,PMC6592156:PH:pH 6.1:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.5827472671004497,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!K4,P01024,PH,pH 6.8,Rep1,PMC6592156:PH:pH 6.8:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.6821413350347125,POSITIVE_LOG_LFQ,true
