target_observation_id,source_id,canonical_accession,laboratory_anchor,measurement_batch_id,source_analysis_unit_id,source_measurement_id,source_identifier,source_asset_id,source_worksheet,source_row,source_coordinate,author_quantity_type,author_numeric_value,author_value_state,rank_percentile_descending,measurement_batch_positive_protein_count,rank_target_eligible,common_rank_target_member
R3:PXD017052:Sheet1:159:EXP18102_X1066_A_MSB37240A,PXD017052_SEER_BROAD,Q04695,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_2,PXD017052:Sheet1:159:EXP18102_X1066_A_MSB37240A,PXD017052:Sheet1:159:EXP18102_X1066_A_MSB37240A,CON__Q04695;Q04695;F5GWP8;CON__Q9QWL7;CON__P19001,supplementary_data_2_lfq,Sheet1,159,Sheet1!BO159,LFQ_INTENSITY,30438000,POSITIVE_QUANTIFIED,0.31558185404339251,508,true,true
R3:PXD017052:Sheet1:159:EXP18102_X1067_A_MSB37241A,PXD017052_SEER_BROAD,Q04695,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_1,PXD017052:Sheet1:159:EXP18102_X1067_A_MSB37241A,PXD017052:Sheet1:159:EXP18102_X1067_A_MSB37241A,CON__Q04695;Q04695;F5GWP8;CON__Q9QWL7;CON__P19001,supplementary_data_2_lfq,Sheet1,159,Sheet1!BP159,LFQ_INTENSITY,0,AUTHOR_EXPLICIT_ZERO,,,false,true
R3:PXD017052:Sheet1:159:EXP18102_X1068_A_MSB37242A,PXD017052_SEER_BROAD,Q04695,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_3,PXD017052:Sheet1:159:EXP18102_X1068_A_MSB37242A,PXD017052:Sheet1:159:EXP18102_X1068_A_MSB37242A,CON__Q04695;Q04695;F5GWP8;CON__Q9QWL7;CON__P19001,supplementary_data_2_lfq,Sheet1,159,Sheet1!BQ159,LFQ_INTENSITY,0,AUTHOR_EXPLICIT_ZERO,,,false,true
R3:PXD017052:Sheet1:159:EXP18102_X1108_A_MSB37282A,PXD017052_SEER_BROAD,Q04695,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_1,PXD017052:Sheet1:159:EXP18102_X1108_A_MSB37282A,PXD017052:Sheet1:159:EXP18102_X1108_A_MSB37282A,CON__Q04695;Q04695;F5GWP8;CON__Q9QWL7;CON__P19001,supplementary_data_2_lfq,Sheet1,159,Sheet1!BR159,LFQ_INTENSITY,0,AUTHOR_EXPLICIT_ZERO,,,false,true
R3:PXD017052:Sheet1:159:EXP18102_X1109_A_MSB37283A,PXD017052_SEER_BROAD,Q04695,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_3,PXD017052:Sheet1:159:EXP18102_X1109_A_MSB37283A,PXD017052:Sheet1:159:EXP18102_X1109_A_MSB37283A,CON__Q04695;Q04695;F5GWP8;CON__Q9QWL7;CON__P19001,supplementary_data_2_lfq,Sheet1,159,Sheet1!BS159,LFQ_INTENSITY,0,AUTHOR_EXPLICIT_ZERO,,,false,true
R3:PXD017052:Sheet1:159:EXP18102_X1110_B_MSB37284B,PXD017052_SEER_BROAD,Q04695,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_2,PXD017052:Sheet1:159:EXP18102_X1110_B_MSB37284B,PXD017052:Sheet1:159:EXP18102_X1110_B_MSB37284B,CON__Q04695;Q04695;F5GWP8;CON__Q9QWL7;CON__P19001,supplementary_data_2_lfq,Sheet1,159,Sheet1!BT159,LFQ_INTENSITY,0,AUTHOR_EXPLICIT_ZERO,,,false,true
R3:PXD017052:Sheet1:159:EXP18102_X1114_A_MSB37288A,PXD017052_SEER_BROAD,Q04695,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_3,PXD017052:Sheet1:159:EXP18102_X1114_A_MSB37288A,PXD017052:Sheet1:159:EXP18102_X1114_A_MSB37288A,CON__Q04695;Q04695;F5GWP8;CON__Q9QWL7;CON__P19001,supplementary_data_2_lfq,Sheet1,159,Sheet1!BU159,LFQ_INTENSITY,23478000,POSITIVE_QUANTIFIED,0.22606924643584522,492,true,true
R3:PXD017052:Sheet1:159:EXP18102_X1115_A_MSB37289A,PXD017052_SEER_BROAD,Q04695,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_2,PXD017052:Sheet1:159:EXP18102_X1115_A_MSB37289A,PXD017052:Sheet1:159:EXP18102_X1115_A_MSB37289A,CON__Q04695;Q04695;F5GWP8;CON__Q9QWL7;CON__P19001,supplementary_data_2_lfq,Sheet1,159,Sheet1!BV159,LFQ_INTENSITY,612630000,POSITIVE_QUANTIFIED,0.76278118609406953,490,true,true
R3:PXD017052:Sheet1:159:EXP18102_X1116_A_MSB37290A,PXD017052_SEER_BROAD,Q04695,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_1,PXD017052:Sheet1:159:EXP18102_X1116_A_MSB37290A,PXD017052:Sheet1:159:EXP18102_X1116_A_MSB37290A,CON__Q04695;Q04695;F5GWP8;CON__Q9QWL7;CON__P19001,supplementary_data_2_lfq,Sheet1,159,Sheet1!BW159,LFQ_INTENSITY,91903000,POSITIVE_QUANTIFIED,0.44130434782608696,461,true,true
R3:PXD017052:Sheet1:218:EXP18102_X1066_A_MSB37240A,PXD017052_SEER_BROAD,Q9NQC3,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_2,PXD017052:Sheet1:218:EXP18102_X1066_A_MSB37240A,PXD017052:Sheet1:218:EXP18102_X1066_A_MSB37240A,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,supplementary_data_2_lfq,Sheet1,218,Sheet1!BO218,LFQ_INTENSITY,90995000,POSITIVE_QUANTIFIED,0.52465483234714005,508,true,true
R3:PXD017052:Sheet1:218:EXP18102_X1067_A_MSB37241A,PXD017052_SEER_BROAD,Q9NQC3,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_1,PXD017052:Sheet1:218:EXP18102_X1067_A_MSB37241A,PXD017052:Sheet1:218:EXP18102_X1067_A_MSB37241A,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,supplementary_data_2_lfq,Sheet1,218,Sheet1!BP218,LFQ_INTENSITY,146590000,POSITIVE_QUANTIFIED,0.60081466395112015,492,true,true
