analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell_range,source_condition_id,protein_source_identifier,quantification_column,author_reported_quantification
PMC7788026:RIPA-PC:2,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,ripa_pc_table,RIPA-PC,2,RIPA-PC!A2:Q2,PMC7788026:RIPA_PC,P60709,Top3_normalized_RIPA,2.006333918395272
PMC7788026:RIPA-PC:3,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,ripa_pc_table,RIPA-PC,3,RIPA-PC!A3:Q3,PMC7788026:RIPA_PC,P08670,Top3_normalized_RIPA,1.7890027050162449
PMC7788026:RIPA-PC:4,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,ripa_pc_table,RIPA-PC,4,RIPA-PC!A4:Q4,PMC7788026:RIPA_PC,P08238,Top3_normalized_RIPA,1.130557303354389
PMC7788026:RIPA-PC:5,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,ripa_pc_table,RIPA-PC,5,RIPA-PC!A5:Q5,PMC7788026:RIPA_PC,P68363,Top3_normalized_RIPA,1.0068828248538597
PMC7788026:RIPA-PC:6,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,ripa_pc_table,RIPA-PC,6,RIPA-PC!A6:Q6,PMC7788026:RIPA_PC,P06733,Top3_normalized_RIPA,0.90437022990672855
PMC7788026:RIPA-PC:7,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,ripa_pc_table,RIPA-PC,7,RIPA-PC!A7:Q7,PMC7788026:RIPA_PC,Q9BQE3,Top3_normalized_RIPA,0.85899992003376036
PMC7788026:RIPA-PC:8,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,ripa_pc_table,RIPA-PC,8,RIPA-PC!A8:Q8,PMC7788026:RIPA_PC,P07437,Top3_normalized_RIPA,0.85892747982103845
PMC7788026:RIPA-PC:9,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,ripa_pc_table,RIPA-PC,9,RIPA-PC!A9:Q9,PMC7788026:RIPA_PC,P04083,Top3_normalized_RIPA,0.82308120725862211
PMC7788026:RIPA-PC:10,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,ripa_pc_table,RIPA-PC,10,RIPA-PC!A10:Q10,PMC7788026:RIPA_PC,P14618,Top3_normalized_RIPA,0.77296967665033212
PMC7788026:RIPA-PC:11,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,ripa_pc_table,RIPA-PC,11,RIPA-PC!A11:Q11,PMC7788026:RIPA_PC,P09211,Top3_normalized_RIPA,0.77022717127332074
