analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell_range,core_facility_code,protein_ids,gene_names,sequence_coverage_percent,peptide_spectrum_matches,number_of_peptides,number_of_unique_peptides,replicate_1,replicate_2,replicate_3,coefficient_of_variation_percent
PMC9633814:Final Prot:6,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,6,Final Prot!A6:K6,8,P02768,NA,92.120000000000005,1299,NA,223,0.16902468753837599,0.176480163001592,0.17617153793196599,1.4004953306205801
PMC9633814:Final Prot:7,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,7,Final Prot!A7:K7,8,ALBU_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:8,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,8,Final Prot!A8:K8,8,P35579,NA,60.086666666666702,458,NA,178,0.0155300813072572,0.0170052354211092,0.017147764235720599,3.12246511629901
PMC9633814:Final Prot:9,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,9,Final Prot!A9:K9,8,Q9Y490,NA,54.336666666666702,281,NA,122,0.010468649719423901,0.010379148670481,0.0097007096946078106,2.3809062637416001
PMC9633814:Final Prot:10,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,10,Final Prot!A10:K10,8,P02671,NA,46.420000000000002,515,NA,98,0.057680885813099499,0.052286019693270402,0.055740729576539097,2.85627449598686
PMC9633814:Final Prot:11,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,11,Final Prot!A11:K11,8,P02675,NA,82.549999999999997,389,NA,113,0.027679696614635398,0.036079991430849598,0.030586525124755098,7.8317259933788099
PMC9633814:Final Prot:12,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,12,Final Prot!A12:K12,8,P02647,NA,89.386666666666699,468,NA,106,0.043781256521462003,0.044735265472850901,0.045093887194064403,0.87950082800148899
PMC9633814:Final Prot:13,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,13,Final Prot!A13:K13,8,P21333,NA,39.340000000000003,227,NA,87,0.0065447162579929203,0.0069292439773389397,0.0061111160874989297,3.6198187092387899
PMC9633814:Final Prot:14,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,14,Final Prot!A14:K14,8,P21333-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:15,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,15,Final Prot!A15:K15,8,P02679,NA,63.024999999999999,287,NA,72,0.017214161602996499,0.017182622440542701,NA,0.091692183821372994
PMC9633814:Final Prot:16,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,16,Final Prot!A16:K16,8,P02679-2,NA,65.450000000000003,294,NA,74,NA,NA,0.0175950552266026,NA
PMC9633814:Final Prot:17,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,17,Final Prot!A17:K17,8,Q14624,NA,54.196666666666701,240,NA,76,0.010877565017619399,0.010570938733608501,0.0111010488554444,1.4162012163770901
PMC9633814:Final Prot:18,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,18,Final Prot!A18:K18,8,P16157,NA,46.183333333333302,165,NA,70,0.0041915323964696197,0.00401455610594415,0.0043992535045737999,2.64580036388175
PMC9633814:Final Prot:19,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,19,Final Prot!A19:K19,8,P16157-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:20,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,20,Final Prot!A20:K20,8,P16157-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:21,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,21,Final Prot!A21:K21,8,P16157-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:22,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,22,Final Prot!A22:K22,8,P16157-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:23,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,23,Final Prot!A23:K23,8,P16157-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:24,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,24,Final Prot!A24:K24,8,P16157-8,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:25,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,25,Final Prot!A25:K25,8,P16157-9,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:26,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,26,Final Prot!A26:K26,8,P16157-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:27,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,27,Final Prot!A27:K27,8,P16157-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:28,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,28,Final Prot!A28:K28,8,P16157-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:29,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,29,Final Prot!A29:K29,8,P16157-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
