source_id,laboratory_anchor,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,canonical_accession,sample_phase,measurement_batch_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible
EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,blood_proteomics_xlsx,sGO 0h v 6h,23,C23,TBB1_HUMAN;TBB3_HUMAN,Q9H4B7,before exposure,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO4,NORMALIZED_ABUNDANCE,0.00098679138553088987,POSITIVE_FINITE,true
EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,blood_proteomics_xlsx,sGO 0h v 6h,23,D23,TBB1_HUMAN;TBB3_HUMAN,Q9H4B7,before exposure,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO21,NORMALIZED_ABUNDANCE,0.0026011510991237616,POSITIVE_FINITE,true
EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,blood_proteomics_xlsx,sGO 0h v 6h,23,E23,TBB1_HUMAN;TBB3_HUMAN,Q9H4B7,before exposure,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO24,NORMALIZED_ABUNDANCE,0.0047821272682308791,POSITIVE_FINITE,true
EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,blood_proteomics_xlsx,sGO 0h v 6h,23,F23,TBB1_HUMAN;TBB3_HUMAN,Q9H4B7,before exposure,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO43,NORMALIZED_ABUNDANCE,0.00012690870492540067,POSITIVE_FINITE,true
EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,blood_proteomics_xlsx,sGO 0h v 6h,23,G23,TBB1_HUMAN;TBB3_HUMAN,Q9H4B7,before exposure,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO64,NORMALIZED_ABUNDANCE,0,NUMERIC_ZERO,false
EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,blood_proteomics_xlsx,sGO 0h v 6h,23,H23,TBB1_HUMAN;TBB3_HUMAN,Q9H4B7,before exposure,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO73,NORMALIZED_ABUNDANCE,0.00034765279474986162,POSITIVE_FINITE,true
EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,blood_proteomics_xlsx,sGO 0h v 6h,23,I23,TBB1_HUMAN;TBB3_HUMAN,Q9H4B7,before exposure,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO88,NORMALIZED_ABUNDANCE,0.00050559110306722826,POSITIVE_FINITE,true
EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,blood_proteomics_xlsx,sGO 0h v 6h,23,J23,TBB1_HUMAN;TBB3_HUMAN,Q9H4B7,before exposure,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO94,NORMALIZED_ABUNDANCE,6.487717482454862e-06,POSITIVE_FINITE,true
EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,blood_proteomics_xlsx,sGO 0h v 6h,23,K23,TBB1_HUMAN;TBB3_HUMAN,Q9H4B7,before exposure,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO96,NORMALIZED_ABUNDANCE,6.6868895935662191e-05,POSITIVE_FINITE,true
EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,blood_proteomics_xlsx,sGO 0h v 6h,23,L23,TBB1_HUMAN;TBB3_HUMAN,Q9H4B7,before exposure,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO107,NORMALIZED_ABUNDANCE,4.0726906174432505e-05,POSITIVE_FINITE,true
