analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell_range,core_facility_code,protein_ids,gene_names,replicate_1,replicate_2,replicate_3,mean_value,cv_percent,good_center,similar_instrument,replicate_count
PMC11328176:SuppData1:1:A0A075B6R9,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,262|3384|6506,Supp Data 1!P262|Supp Data 1!P3384|Supp Data 1!P6506,1,A0A075B6R9,IGKV2D-24,8.40288131533704e-05,6.03955398065092e-05,5.74480048131181e-05,6.72907859243325e-05,21.6527168805162,No,Yes,3
PMC11328176:SuppData1:1:A0A087WW87,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,251|3373|6495,Supp Data 1!P251|Supp Data 1!P3373|Supp Data 1!P6495,1,A0A087WW87,IGKV2-40,0.000511684229573531,0.000443215273056683,0.000398280998917725,0.000451060167182646,12.6606567556187,No,Yes,3
PMC11328176:SuppData1:1:A0A0A0MRZ8,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,221|3343|6465,Supp Data 1!P221|Supp Data 1!P3343|Supp Data 1!P6465,1,A0A0A0MRZ8,IGKV3D-11,0.00026030629180722,0.000219060714977875,0.00019367908258455,0.000224348696456548,14.9886757481258,No,Yes,3
PMC11328176:SuppData1:1:A0A0C4DH38,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,238|3360|6482,Supp Data 1!P238|Supp Data 1!P3360|Supp Data 1!P6482,1,A0A0C4DH38,IGHV5-51,4.41522868727775e-05,3.19309672846237e-05,3.94266911753069e-05,3.85033151109027e-05,16.0057948002134,No,Yes,3
PMC11328176:SuppData1:1:B9A064,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,84|3206|6328,Supp Data 1!P84|Supp Data 1!P3206|Supp Data 1!P6328,1,B9A064,IGLL5,0.000185292075499278,0.000177160369946605,0.000161648849870796,0.000174700431772226,6.87579049876577,No,Yes,3
PMC11328176:SuppData1:1:O00139,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,268|3390|6512,Supp Data 1!P268|Supp Data 1!P3390|Supp Data 1!P6512,1,O00139,KIF2A,6.98640478957691e-06,5.51052621235208e-06,6.21121543322308e-06,6.23604881171736e-06,11.8384674704189,No,Yes,3
PMC11328176:SuppData1:1:O00151,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,231|3353|6475,Supp Data 1!P231|Supp Data 1!P3353|Supp Data 1!P6475,1,O00151,PDLIM1,1.49849034566089e-05,1.19444728164578e-05,1.8308655363243e-05,1.50793438787699e-05,21.109288323878,No,Yes,3
PMC11328176:SuppData1:1:O00161,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,257|3379|6501,Supp Data 1!P257|Supp Data 1!P3379|Supp Data 1!P6501,1,O00161,SNAP23,2.57891389283697e-05,3.7897031716267e-05,3.49513556457796e-05,3.28791754301388e-05,19.2046366578687,No,Yes,3
PMC11328176:SuppData1:1:O00187,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,166|3288|6410,Supp Data 1!P166|Supp Data 1!P3288|Supp Data 1!P6410,1,O00187,MASP2,0.000201868020358235,0.000135087844132868,0.000222602025142818,0.00018651929654464,24.5183768565724,No,Yes,3
PMC11328176:SuppData1:1:O00194,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,171|3293|6415,Supp Data 1!P171|Supp Data 1!P3293|Supp Data 1!P6415,1,O00194,RAB27B,0.000128201529551051,0.000112080999589625,0.000127245768094137,0.000122509432411604,7.38222518736407,No,Yes,3
