source_id,laboratory_anchor,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,canonical_accession,measurement_batch_id,biological_unit_id,condition_label,analysis_candidate_eligible,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity iST_162,O00299,O00299,R4_PMC13106918_iST_1,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,3999700,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity iST_262,O00299,O00299,R4_PMC13106918_iST_2,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,5359800,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity iST_362,O00299,O00299,R4_PMC13106918_iST_3,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,5283900,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity iST_462,O00299,O00299,R4_PMC13106918_iST_4,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,4850100,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity Pmax_162,O00299,O00299,R4_PMC13106918_Pmax_1,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,6222600,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity Pmax_262,O00299,O00299,R4_PMC13106918_Pmax_2,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity Pmax_362,O00299,O00299,R4_PMC13106918_Pmax_3,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,7398200,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity Pmax_462,O00299,O00299,R4_PMC13106918_Pmax_4,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity RapiG_162,O00299,O00299,R4_PMC13106918_RapiG_1,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity RapiG_262,O00299,O00299,R4_PMC13106918_RapiG_2,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,4023100,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity RapiG_362,O00299,O00299,R4_PMC13106918_RapiG_3,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,1896300,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity RapiG_462,O00299,O00299,R4_PMC13106918_RapiG_4,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,2104700,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity STD_162,O00299,O00299,R4_PMC13106918_STD_1,POOLED_HUMAN_PLASMA_8_DONORS,STD,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity STD_262,O00299,O00299,R4_PMC13106918_STD_2,POOLED_HUMAN_PLASMA_8_DONORS,STD,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity STD_362,O00299,O00299,R4_PMC13106918_STD_3,POOLED_HUMAN_PLASMA_8_DONORS,STD,true,LFQ_INTENSITY,2059300,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity STD_462,O00299,O00299,R4_PMC13106918_STD_4,POOLED_HUMAN_PLASMA_8_DONORS,STD,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity Strap_162,O00299,O00299,R4_PMC13106918_Strap_1,POOLED_HUMAN_PLASMA_8_DONORS,Strap,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity Strap_262,O00299,O00299,R4_PMC13106918_Strap_2,POOLED_HUMAN_PLASMA_8_DONORS,Strap,true,LFQ_INTENSITY,1754300,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity Strap_362,O00299,O00299,R4_PMC13106918_Strap_3,POOLED_HUMAN_PLASMA_8_DONORS,Strap,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,62,LFQ intensity Strap_462,O00299,O00299,R4_PMC13106918_Strap_4,POOLED_HUMAN_PLASMA_8_DONORS,Strap,true,LFQ_INTENSITY,1833500,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity iST_163,O00410,O00410,R4_PMC13106918_iST_1,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity iST_263,O00410,O00410,R4_PMC13106918_iST_2,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity iST_363,O00410,O00410,R4_PMC13106918_iST_3,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity iST_463,O00410,O00410,R4_PMC13106918_iST_4,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity Pmax_163,O00410,O00410,R4_PMC13106918_Pmax_1,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity Pmax_263,O00410,O00410,R4_PMC13106918_Pmax_2,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity Pmax_363,O00410,O00410,R4_PMC13106918_Pmax_3,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity Pmax_463,O00410,O00410,R4_PMC13106918_Pmax_4,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity RapiG_163,O00410,O00410,R4_PMC13106918_RapiG_1,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity RapiG_263,O00410,O00410,R4_PMC13106918_RapiG_2,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity RapiG_363,O00410,O00410,R4_PMC13106918_RapiG_3,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity RapiG_463,O00410,O00410,R4_PMC13106918_RapiG_4,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity STD_163,O00410,O00410,R4_PMC13106918_STD_1,POOLED_HUMAN_PLASMA_8_DONORS,STD,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity STD_263,O00410,O00410,R4_PMC13106918_STD_2,POOLED_HUMAN_PLASMA_8_DONORS,STD,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity STD_363,O00410,O00410,R4_PMC13106918_STD_3,POOLED_HUMAN_PLASMA_8_DONORS,STD,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity STD_463,O00410,O00410,R4_PMC13106918_STD_4,POOLED_HUMAN_PLASMA_8_DONORS,STD,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity Strap_163,O00410,O00410,R4_PMC13106918_Strap_1,POOLED_HUMAN_PLASMA_8_DONORS,Strap,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity Strap_263,O00410,O00410,R4_PMC13106918_Strap_2,POOLED_HUMAN_PLASMA_8_DONORS,Strap,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity Strap_363,O00410,O00410,R4_PMC13106918_Strap_3,POOLED_HUMAN_PLASMA_8_DONORS,Strap,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,63,LFQ intensity Strap_463,O00410,O00410,R4_PMC13106918_Strap_4,POOLED_HUMAN_PLASMA_8_DONORS,Strap,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity iST_176,O15145,O15145,R4_PMC13106918_iST_1,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity iST_276,O15145,O15145,R4_PMC13106918_iST_2,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity iST_376,O15145,O15145,R4_PMC13106918_iST_3,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity iST_476,O15145,O15145,R4_PMC13106918_iST_4,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity Pmax_176,O15145,O15145,R4_PMC13106918_Pmax_1,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity Pmax_276,O15145,O15145,R4_PMC13106918_Pmax_2,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity Pmax_376,O15145,O15145,R4_PMC13106918_Pmax_3,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity Pmax_476,O15145,O15145,R4_PMC13106918_Pmax_4,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity RapiG_176,O15145,O15145,R4_PMC13106918_RapiG_1,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity RapiG_276,O15145,O15145,R4_PMC13106918_RapiG_2,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity RapiG_376,O15145,O15145,R4_PMC13106918_RapiG_3,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity RapiG_476,O15145,O15145,R4_PMC13106918_RapiG_4,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity STD_176,O15145,O15145,R4_PMC13106918_STD_1,POOLED_HUMAN_PLASMA_8_DONORS,STD,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity STD_276,O15145,O15145,R4_PMC13106918_STD_2,POOLED_HUMAN_PLASMA_8_DONORS,STD,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity STD_376,O15145,O15145,R4_PMC13106918_STD_3,POOLED_HUMAN_PLASMA_8_DONORS,STD,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity STD_476,O15145,O15145,R4_PMC13106918_STD_4,POOLED_HUMAN_PLASMA_8_DONORS,STD,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity Strap_176,O15145,O15145,R4_PMC13106918_Strap_1,POOLED_HUMAN_PLASMA_8_DONORS,Strap,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity Strap_276,O15145,O15145,R4_PMC13106918_Strap_2,POOLED_HUMAN_PLASMA_8_DONORS,Strap,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity Strap_376,O15145,O15145,R4_PMC13106918_Strap_3,POOLED_HUMAN_PLASMA_8_DONORS,Strap,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,76,LFQ intensity Strap_476,O15145,O15145,R4_PMC13106918_Strap_4,POOLED_HUMAN_PLASMA_8_DONORS,Strap,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,89,LFQ intensity iST_189,O75083,O75083,R4_PMC13106918_iST_1,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,2245900,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,89,LFQ intensity iST_289,O75083,O75083,R4_PMC13106918_iST_2,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,3102900,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,89,LFQ intensity iST_389,O75083,O75083,R4_PMC13106918_iST_3,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,2079200,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,89,LFQ intensity iST_489,O75083,O75083,R4_PMC13106918_iST_4,POOLED_HUMAN_PLASMA_8_DONORS,iST,true,LFQ_INTENSITY,2790500,POSITIVE_FINITE,true
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,89,LFQ intensity Pmax_189,O75083,O75083,R4_PMC13106918_Pmax_1,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,89,LFQ intensity Pmax_289,O75083,O75083,R4_PMC13106918_Pmax_2,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,89,LFQ intensity Pmax_389,O75083,O75083,R4_PMC13106918_Pmax_3,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,89,LFQ intensity Pmax_489,O75083,O75083,R4_PMC13106918_Pmax_4,POOLED_HUMAN_PLASMA_8_DONORS,Pmax,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,89,LFQ intensity RapiG_189,O75083,O75083,R4_PMC13106918_RapiG_1,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,protein_groups,proteinGroups.txt,89,LFQ intensity RapiG_289,O75083,O75083,R4_PMC13106918_RapiG_2,POOLED_HUMAN_PLASMA_8_DONORS,RapiG,true,LFQ_INTENSITY,0,NUMERIC_ZERO,false
