source_id,laboratory_anchor,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,canonical_accession,measurement_batch_id,biological_unit_id,condition_label,analysis_candidate_eligible,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,21,X21,Q9HDC9,Q9HDC9,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,5090793.466849,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,21,Y21,Q9HDC9,Q9HDC9,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,6781990.76911542,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,21,Z21,Q9HDC9,Q9HDC9,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,6858851.26176904,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,21,AA21,Q9HDC9,Q9HDC9,R4_PXD060795_F4,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,21,AB21,Q9HDC9,Q9HDC9,R4_PXD060795_F5,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,21,AC21,Q9HDC9,Q9HDC9,R4_PXD060795_F6,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,21,AD21,Q9HDC9,Q9HDC9,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,9643346.24138075,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,21,AE21,Q9HDC9,Q9HDC9,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,10627903.6481485,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,21,AF21,Q9HDC9,Q9HDC9,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,10037944.2500675,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,94,X94,Q14247,Q14247,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,25049286.8473755,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,94,Y94,Q14247,Q14247,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,22966277.4350008,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,94,Z94,Q14247,Q14247,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,23117442.6310802,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,94,AA94,Q14247,Q14247,R4_PXD060795_F4,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,94,AB94,Q14247,Q14247,R4_PXD060795_F5,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,94,AC94,Q14247,Q14247,R4_PXD060795_F6,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,94,AD94,Q14247,Q14247,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,912525.955004717,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,94,AE94,Q14247,Q14247,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,1079711.26364817,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,94,AF94,Q14247,Q14247,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,991225.965316932,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,117,X117,Q04695,Q04695,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,123660104.181664,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,117,Y117,Q04695,Q04695,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,122267959.080637,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,117,Z117,Q04695,Q04695,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,126194981.453351,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,117,AA117,Q04695,Q04695,R4_PXD060795_F4,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,383315.015625,POSITIVE,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,117,AB117,Q04695,Q04695,R4_PXD060795_F5,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,22200.1950728092,POSITIVE,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,117,AC117,Q04695,Q04695,R4_PXD060795_F6,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,123089.801264107,POSITIVE,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,117,AD117,Q04695,Q04695,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,4912108.27525268,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,117,AE117,Q04695,Q04695,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,4293029.13378392,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,117,AF117,Q04695,Q04695,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,3993390.73277863,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,132,X132,P68366,P68366,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,511929.612082496,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,132,Y132,P68366,P68366,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,567478.306954787,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,132,Z132,P68366,P68366,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,132,AA132,P68366,P68366,R4_PXD060795_F4,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,132,AB132,P68366,P68366,R4_PXD060795_F5,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,132,AC132,P68366,P68366,R4_PXD060795_F6,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,132,AD132,P68366,P68366,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,132,AE132,P68366,P68366,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,132,AF132,P68366,P68366,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,133,X133,P68363,P68363,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,3925732.96143378,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,133,Y133,P68363,P68363,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,3800390.57366257,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,133,Z133,P68363,P68363,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,3989677.54246744,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,133,AA133,P68363,P68363,R4_PXD060795_F4,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,133,AB133,P68363,P68363,R4_PXD060795_F5,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,133,AC133,P68363,P68363,R4_PXD060795_F6,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,133,AD133,P68363,P68363,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,593491.900215097,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,133,AE133,P68363,P68363,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,607874.412780228,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,133,AF133,P68363,P68363,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,601063.147148315,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,139,X139,P62805,P62805,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,17520029.4222901,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,139,Y139,P62805,P62805,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,16457740.5193524,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,139,Z139,P62805,P62805,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,16939669.5195861,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,139,AA139,P62805,P62805,R4_PXD060795_F4,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,2711265.203125,POSITIVE,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,139,AB139,P62805,P62805,R4_PXD060795_F5,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,399195.463507264,POSITIVE,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,139,AC139,P62805,P62805,R4_PXD060795_F6,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,450504.708884833,POSITIVE,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,139,AD139,P62805,P62805,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,1410513.61689951,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,139,AE139,P62805,P62805,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,2330832.68378987,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,139,AF139,P62805,P62805,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,974981.956019905,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,150,X150,P60174,P60174,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,1339732.02955889,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,150,Y150,P60174,P60174,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,1553711.05660572,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,150,Z150,P60174,P60174,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,A_PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,1343537.29391201,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,150,AA150,P60174,P60174,R4_PXD060795_F4,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,150,AB150,P60174,P60174,R4_PXD060795_F5,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,150,AC150,P60174,P60174,R4_PXD060795_F6,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,HP,false,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,,SOURCE_BLANK,false
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,150,AD150,P60174,P60174,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,602223.570745206,POSITIVE,true
PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",search_result_workbook,Proteins,150,AE150,P60174,P60174,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,PLA,true,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,851369.757886173,POSITIVE,true
