source_id,laboratory_anchor,source_asset_id,source_row,source_column,source_coordinate,source_sample,canonical_accession,source_identifier,measurement_batch_id,biological_unit_id,cohort_label,timepoint,technical_replicate_id,author_numeric_value,author_value_state,rank_target_eligible
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_16_1_S1-A1_6641,LFQ intensity PT_D1_16_1_S1-A1_6641:51,PT_D1_16_1_S1-A1_6641,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_16,PT_D1_16,PRETERM,D1,1,202.93,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_16_2_S1-B1_6642,LFQ intensity PT_D1_16_2_S1-B1_6642:51,PT_D1_16_2_S1-B1_6642,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_16,PT_D1_16,PRETERM,D1,2,171.1,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_18_1_S1-C1_6657,LFQ intensity PT_D1_18_1_S1-C1_6657:51,PT_D1_18_1_S1-C1_6657,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_18,PT_D1_18,PRETERM,D1,1,0.0,EXPLICIT_ZERO,false
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_18_2_S1-D1_6658,LFQ intensity PT_D1_18_2_S1-D1_6658:51,PT_D1_18_2_S1-D1_6658,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_18,PT_D1_18,PRETERM,D1,2,0.0,EXPLICIT_ZERO,false
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_20_1_S1-E1_6673,LFQ intensity PT_D1_20_1_S1-E1_6673:51,PT_D1_20_1_S1-E1_6673,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_20,PT_D1_20,PRETERM,D1,1,0.0,EXPLICIT_ZERO,false
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_20_2_S1-F1_6674,LFQ intensity PT_D1_20_2_S1-F1_6674:51,PT_D1_20_2_S1-F1_6674,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_20,PT_D1_20,PRETERM,D1,2,0.0,EXPLICIT_ZERO,false
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_23_1_S1-G1_6687,LFQ intensity PT_D1_23_1_S1-G1_6687:51,PT_D1_23_1_S1-G1_6687,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_23,PT_D1_23,PRETERM,D1,1,134.34,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_23_2_S1-H1_6688,LFQ intensity PT_D1_23_2_S1-H1_6688:51,PT_D1_23_2_S1-H1_6688,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_23,PT_D1_23,PRETERM,D1,2,0.0,EXPLICIT_ZERO,false
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_33_1_S1-A2_6643,LFQ intensity PT_D1_33_1_S1-A2_6643:51,PT_D1_33_1_S1-A2_6643,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_33,PT_D1_33,PRETERM,D1,1,619.37,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_33_2_S1-B2_6644,LFQ intensity PT_D1_33_2_S1-B2_6644:51,PT_D1_33_2_S1-B2_6644,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_33,PT_D1_33,PRETERM,D1,2,184.47,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_34_1_S1-C2_6659,LFQ intensity PT_D1_34_1_S1-C2_6659:51,PT_D1_34_1_S1-C2_6659,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_34,PT_D1_34,PRETERM,D1,1,327.44,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_34_2_S1-D2_6660,LFQ intensity PT_D1_34_2_S1-D2_6660:51,PT_D1_34_2_S1-D2_6660,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_34,PT_D1_34,PRETERM,D1,2,369.94,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_48_1_S1-E2_6675,LFQ intensity PT_D1_48_1_S1-E2_6675:51,PT_D1_48_1_S1-E2_6675,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_48,PT_D1_48,PRETERM,D1,1,249.32,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_48_2_S1-F2_6676,LFQ intensity PT_D1_48_2_S1-F2_6676:51,PT_D1_48_2_S1-F2_6676,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_48,PT_D1_48,PRETERM,D1,2,253.4,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_51_1_S1-G2_6689,LFQ intensity PT_D1_51_1_S1-G2_6689:51,PT_D1_51_1_S1-G2_6689,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_51,PT_D1_51,PRETERM,D1,1,367.55,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_51_2_S1-H2_6690,LFQ intensity PT_D1_51_2_S1-H2_6690:51,PT_D1_51_2_S1-H2_6690,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_51,PT_D1_51,PRETERM,D1,2,360.27,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_73_1_S1-A3_6645,LFQ intensity PT_D1_73_1_S1-A3_6645:51,PT_D1_73_1_S1-A3_6645,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_73,PT_D1_73,PRETERM,D1,1,363.42,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D1_73_2_S1-B3_6646,LFQ intensity PT_D1_73_2_S1-B3_6646:51,PT_D1_73_2_S1-B3_6646,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_73,PT_D1_73,PRETERM,D1,2,518.21,POSITIVE,true
