Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS submitted	MS/MS submitted (SIL)	MS/MS submitted (ISO)	MS/MS submitted (PEAK)	MS/MS identified	MS/MS identified (SIL)	MS/MS identified (ISO)	MS/MS identified (PEAK)	MS/MS identified [%]	MS/MS identified (SIL) [%]	MS/MS identified (ISO) [%]	MS/MS identified (PEAK) [%]	Peptide sequences identified	Peaks	Peaks sequenced	Peaks sequenced [%]	Peaks repeatedly sequenced	Peaks repeatedly sequenced [%]	Isotope patterns	Isotope patterns sequenced	Isotope patterns sequenced (z>1)	Isotope patterns sequenced [%]	Isotope patterns sequenced (z>1) [%]	Isotope patterns repeatedly sequenced	Isotope patterns repeatedly sequenced [%]	Recalibrated	Av. absolute mass deviation [ppm]	Mass standard deviation [ppm]	Av. absolute mass deviation [mDa]	Mass standard deviation [mDa]	Label free norm param
2022_09_20_LWEISS_EVENT_T_D1_186_1_S1-C6_6667	T_D1_186_1_S1-C6_6667	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2318	22566	0	28754	28754	0	0	2331	2331	0	0	8.1	8.1	0	0	1172	2642801	54366	2.1	43760	80	122115	28754	26230	24	31	25225	88	+					
2022_09_20_LWEISS_EVENT_PT_D1_48_1_S1-E2_6675	PT_D1_48_1_S1-E2_6675	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2505	22349	0	29251	29251	0	0	2730	2730	0	0	9.3	9.3	0	0	1185	2640622	56716	2.1	45285	80	125541	29252	26637	23	30	25321	87	+					
2022_09_20_LWEISS_EVENT_PT_D3_28_2_S1-B5_6650	PT_D3_28_2_S1-B5_6650	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2782	22018	0	30104	30104	0	0	2938	2938	0	0	9.8	9.8	0	0	1256	2862339	58679	2.1	46937	80	131001	30105	27439	23	30	26134	87	+					
2022_09_20_LWEISS_EVENT_PT_D3_41_2_S1-H3_6692	PT_D3_41_2_S1-H3_6692	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2269	22601	0	29322	29322	0	0	2556	2556	0	0	8.7	8.7	0	0	1126	2789578	56891	2	45800	81	127353	29323	26473	23	30	25638	87	+					
2022_09_20_LWEISS_EVENT_PT_D1_23_1_S1-G1_6687	PT_D1_23_1_S1-G1_6687	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2309	22564	0	28291	28291	0	0	2651	2651	0	0	9.4	9.4	0	0	1183	2596900	53954	2.1	43734	81	120009	28294	25737	24	31	24846	88	+					
2022_09_20_LWEISS_EVENT_PT_D1_20_2_S1-F1_6674	PT_D1_20_2_S1-F1_6674	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2450	22418	0	26459	26459	0	0	2253	2253	0	0	8.5	8.5	0	0	1217	2376157	50854	2.1	41058	81	110724	26460	23945	24	31	23245	88	+					
2022_09_20_LWEISS_EVENT_T_D3_178_1_S1-C7_6669	T_D3_178_1_S1-C7_6669	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2362	22507	0	27800	27800	0	0	2170	2170	0	0	7.8	7.8	0	0	1166	2621594	52603	2	42749	81	119389	27800	25369	23	30	24509	88	+					
2022_09_20_LWEISS_EVENT_T_D3_198_2_S1-D8_6672	T_D3_198_2_S1-D8_6672	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2268	22634	0	29206	29206	0	0	2840	2840	0	0	9.7	9.7	0	0	1538	2635977	54979	2.1	44946	82	122507	29211	26953	24	32	25821	88	+					
2022_09_20_LWEISS_EVENT_PT_D3_42_1_S1-G4_6693	PT_D3_42_1_S1-G4_6693	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2420	22374	0	27483	27483	0	0	2326	2326	0	0	8.5	8.5	0	0	1187	2634907	52459	2	42511	81	120304	27483	24906	23	30	24174	88	+					
2022_09_20_LWEISS_EVENT_PT_D3_30_1_S1-E3_6677	PT_D3_30_1_S1-E3_6677	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2298	22579	0	28971	28971	0	0	2693	2693	0	0	9.3	9.3	0	0	1136	2684971	55939	2.1	44962	80	124063	28972	26396	23	30	25231	87	+					
2022_09_20_LWEISS_EVENT_PT_D1_51_2_S1-H2_6690	PT_D1_51_2_S1-H2_6690	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		3074	21667	0	31418	31418	0	0	3077	3077	0	0	9.8	9.8	0	0	1192	2853377	59624	2.1	47297	79	136842	31422	28472	23	30	26999	86	+					
2022_09_20_LWEISS_EVENT_PT_D1_73_1_S1-A3_6645	PT_D1_73_1_S1-A3_6645	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2277	22605	0	30924	30924	0	0	2926	2926	0	0	9.5	9.5	0	0	1228	2877342	59666	2.1	47517	80	135375	30924	28220	23	30	26794	87	+					
2022_09_20_LWEISS_EVENT_T_D3_155_2_S1-H7_6700	T_D3_155_2_S1-H7_6700	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		3565	21110	0	27040	27040	0	0	2148	2148	0	0	7.9	7.9	0	0	1195	2448536	50430	2.1	41075	81	112954	27043	24822	24	32	23874	88	+					
2022_09_20_LWEISS_EVENT_PT_D1_34_2_S1-D2_6660	PT_D1_34_2_S1-D2_6660	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2292	22577	0	28129	28129	0	0	2283	2283	0	0	8.1	8.1	0	0	1112	2600379	53998	2.1	43550	81	119629	28134	25623	24	31	24614	87	+					
2022_09_20_LWEISS_EVENT_PT_D3_96_2_S1-B4_6648	PT_D3_96_2_S1-B4_6648	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2634	22178	0	29354	29354	0	0	2536	2536	0	0	8.6	8.6	0	0	1083	2751328	57812	2.1	46248	80	127342	29356	26631	23	30	25454	87	+					
2022_09_20_LWEISS_EVENT_T_D3_119a_1_S1-E7_6685	T_D3_119a_1_S1-E7_6685	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2363	22531	0	27568	27568	0	0	2455	2455	0	0	8.9	8.9	0	0	1271	2456321	52043	2.1	42303	81	114572	27571	25337	24	32	24326	88	+					
2022_09_20_LWEISS_EVENT_T_D1_173_2_S1-F6_6684	T_D1_173_2_S1-F6_6684	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2381	22495	0	28356	28356	0	0	2158	2158	0	0	7.6	7.6	0	0	1112	2544872	53532	2.1	43263	81	119357	28358	25807	24	31	24821	88	+					
2022_09_20_LWEISS_EVENT_T_D1_133_1_S1-A6_6651	T_D1_133_1_S1-A6_6651	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2961	21796	0	30471	30471	0	0	2915	2915	0	0	9.6	9.6	0	0	1150	2802119	59292	2.1	47362	80	132105	30475	27789	23	30	26434	87	+					
2022_09_20_LWEISS_EVENT_PT_D3_96_1_S1-A4_6647	PT_D3_96_1_S1-A4_6647	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2484	22364	0	29701	29701	0	0	2612	2612	0	0	8.8	8.8	0	0	1106	2786438	57828	2.1	46047	80	130503	29703	27067	23	29	25704	87	+					
2022_09_20_LWEISS_EVENT_T_D1_165_2_S1-B7_6654	T_D1_165_2_S1-B7_6654	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2263	22619	0	29588	29588	0	0	2612	2612	0	0	8.8	8.8	0	0	1129	2879935	59039	2.1	47600	81	129159	29588	26933	23	30	25844	87	+					
2022_09_20_LWEISS_EVENT_T_D1_133_2_S1-B6_6652	T_D1_133_2_S1-B6_6652	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2266	22622	0	27909	27909	0	0	2313	2313	0	0	8.3	8.3	0	0	1113	2640737	55684	2.1	45078	81	118914	27911	25350	23	30	24526	88	+					
2022_09_20_LWEISS_EVENT_PT_D1_81_1_S1-C3_6661	PT_D1_81_1_S1-C3_6661	LysC;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		TIMS-DDA		2330	22541	0	27081	27081	0	0	2093	2093	0	0	7.7	7.7	0	0	1094	2541970	51890	2	41849	81	115638	27084	24609	23	31	23729	88	+					
