source_id,laboratory_anchor,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,canonical_accession,measurement_batch_id,biological_unit_id,condition_label,analysis_candidate_eligible,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,GY2,O00151,O00151,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,222198,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,HI2,O00187,O00187,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,5044770,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,HZ2,O00264,O00264,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,10994.299999999999,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,IE2,O00299,O00299,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,563063,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,IQ2,O00410,O00410,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,,SOURCE_NA,false
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,OY2,O15145,O15145,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,660403,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,AAP2,O75083,O75083,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,497571,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,ADS2,O75531,O75531,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,,SOURCE_NA,false
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,AOR2,P00387,P00387,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,,SOURCE_NA,false
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,AOT2,P00403,P00403,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,,SOURCE_NA,false
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,ARE2,P01275,P01275,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,,SOURCE_NA,false
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,AVX2,P04004,P04004,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,307797000,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,AWW2,P04264,P04264,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,77951300,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,AXO2,P04844,P04844,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,,SOURCE_NA,false
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,AXU2,P05023,P05023,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,1091860,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,AZG2,P05556,P05556,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,899259,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,BAA2,P06396,P06396,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,65610500,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,BAC2,P06576,P06576,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,877143,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,BCX2,P07996,P07996,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,134834000,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,BGG2,P09493,P09493,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,,SOURCE_NA,false
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,BJV2,P10599,P10599,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,528149,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,BKB2,P10644,P10644,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,36586.5,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,BKK2,P10809,P10809,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,574777,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,BKP2,P11021,P11021,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,6368640,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,BKX2,P11166,P11166,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,319441,POSITIVE_FINITE,true
PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,heatmap_2b,2b_heatmap,2,BLT2,P11413,P11413,PXD068107_NP03,POOLED_TECHNICAL_PLASMA_SOURCE,NP03,true,SOURCE_DATA_INTENSITY,50126.400000000001,POSITIVE_FINITE,true
