outer_fold_id,held_out_laboratory_anchor,target_observation_id,source_id,laboratory_anchor,measurement_batch_id,split_role
R3-OUTER-01,Michigan State University-led multi-core study,R3:PXD017052:Sheet1:159:EXP18102_X1066_A_MSB37240A,PXD017052_SEER_BROAD,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_2,DEVELOPMENT
R3-OUTER-01,Michigan State University-led multi-core study,R3:PXD017052:Sheet1:159:EXP18102_X1114_A_MSB37288A,PXD017052_SEER_BROAD,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_3,DEVELOPMENT
R3-OUTER-01,Michigan State University-led multi-core study,R3:PXD017052:Sheet1:159:EXP18102_X1115_A_MSB37289A,PXD017052_SEER_BROAD,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_2,DEVELOPMENT
R3-OUTER-01,Michigan State University-led multi-core study,R3:PXD017052:Sheet1:159:EXP18102_X1116_A_MSB37290A,PXD017052_SEER_BROAD,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_1,DEVELOPMENT
R3-OUTER-01,Michigan State University-led multi-core study,R3:PXD017052:Sheet1:218:EXP18102_X1066_A_MSB37240A,PXD017052_SEER_BROAD,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_2,DEVELOPMENT
R3-OUTER-01,Michigan State University-led multi-core study,R3:PXD017052:Sheet1:218:EXP18102_X1067_A_MSB37241A,PXD017052_SEER_BROAD,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_1,DEVELOPMENT
R3-OUTER-01,Michigan State University-led multi-core study,R3:PXD017052:Sheet1:218:EXP18102_X1068_A_MSB37242A,PXD017052_SEER_BROAD,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_3,DEVELOPMENT
R3-OUTER-01,Michigan State University-led multi-core study,R3:PXD017052:Sheet1:218:EXP18102_X1108_A_MSB37282A,PXD017052_SEER_BROAD,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_1,DEVELOPMENT
R3-OUTER-01,Michigan State University-led multi-core study,R3:PXD017052:Sheet1:218:EXP18102_X1109_A_MSB37283A,PXD017052_SEER_BROAD,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_3,DEVELOPMENT
R3-OUTER-01,Michigan State University-led multi-core study,R3:PXD017052:Sheet1:218:EXP18102_X1114_A_MSB37288A,PXD017052_SEER_BROAD,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_3,DEVELOPMENT
R3-OUTER-01,Michigan State University-led multi-core study,R3:PXD017052:Sheet1:218:EXP18102_X1115_A_MSB37289A,PXD017052_SEER_BROAD,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_2,DEVELOPMENT
R3-OUTER-01,Michigan State University-led multi-core study,R3:PXD017052:Sheet1:218:EXP18102_X1116_A_MSB37290A,PXD017052_SEER_BROAD,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_1,DEVELOPMENT
R3-OUTER-01,Michigan State University-led multi-core study,R3:PXD017052:Sheet1:256:EXP18102_X1066_A_MSB37240A,PXD017052_SEER_BROAD,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_2,DEVELOPMENT
