outer_fold_id,held_out_laboratory_anchor,selected_alpha,resample,null_mean_spearman
R3-OUTER-01,Michigan State University-led multi-core study,100,1,-0.13858847295858526
R3-OUTER-01,Michigan State University-led multi-core study,100,2,-0.14500032163870644
R3-OUTER-01,Michigan State University-led multi-core study,100,3,0.0099586825608057334
R3-OUTER-01,Michigan State University-led multi-core study,100,4,-0.18907534431180359
R3-OUTER-01,Michigan State University-led multi-core study,100,5,-0.10067391582032871
R3-OUTER-01,Michigan State University-led multi-core study,100,6,0.061707111936386748
R3-OUTER-01,Michigan State University-led multi-core study,100,7,0.16044573891385788
R3-OUTER-01,Michigan State University-led multi-core study,100,8,-0.089149189368550319
R3-OUTER-01,Michigan State University-led multi-core study,100,9,-0.11758053986154983
R3-OUTER-01,Michigan State University-led multi-core study,100,10,-0.16218804910726334
R3-OUTER-01,Michigan State University-led multi-core study,100,11,-0.1360124539743604
R3-OUTER-01,Michigan State University-led multi-core study,100,12,-0.10173347957600648
R3-OUTER-01,Michigan State University-led multi-core study,100,13,-0.12022571746632806
R3-OUTER-01,Michigan State University-led multi-core study,100,14,-0.018341002863618824
R3-OUTER-01,Michigan State University-led multi-core study,100,15,-0.069811190177029678
R3-OUTER-01,Michigan State University-led multi-core study,100,16,-0.10212601516050417
R3-OUTER-01,Michigan State University-led multi-core study,100,17,0.043792322346282359
R3-OUTER-01,Michigan State University-led multi-core study,100,18,0.062744197683036532
R3-OUTER-01,Michigan State University-led multi-core study,100,19,-0.17097489265069887
R3-OUTER-01,Michigan State University-led multi-core study,100,20,-0.11333905575150904
R3-OUTER-01,Michigan State University-led multi-core study,100,21,-0.078226124907942896
R3-OUTER-01,Michigan State University-led multi-core study,100,22,-0.013624326819940445
R3-OUTER-01,Michigan State University-led multi-core study,100,23,-0.097512653765088594
R3-OUTER-01,Michigan State University-led multi-core study,100,24,0.12836313973306024
R3-OUTER-01,Michigan State University-led multi-core study,100,25,0.045216014172800419
R3-OUTER-01,Michigan State University-led multi-core study,100,26,-0.16166715725229286
R3-OUTER-01,Michigan State University-led multi-core study,100,27,-0.10196936843540089
R3-OUTER-01,Michigan State University-led multi-core study,100,28,-0.15760123351112537
R3-OUTER-01,Michigan State University-led multi-core study,100,29,0.023185745442641882
R3-OUTER-01,Michigan State University-led multi-core study,100,30,-0.11280439181124431
R3-OUTER-01,Michigan State University-led multi-core study,100,31,-0.1908719518727823
R3-OUTER-01,Michigan State University-led multi-core study,100,32,0.05792085206288608
R3-OUTER-01,Michigan State University-led multi-core study,100,33,0.0088094966571273924
R3-OUTER-01,Michigan State University-led multi-core study,100,34,-0.11919599973816578
R3-OUTER-01,Michigan State University-led multi-core study,100,35,0.018635360373024573
R3-OUTER-01,Michigan State University-led multi-core study,100,36,0.043732578712729078
R3-OUTER-01,Michigan State University-led multi-core study,100,37,-0.086977082850419288
