external_target_observation_id,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,source_worksheet,source_row,source_coordinate,author_quantity_type,author_numeric_value,rank_percentile_descending,measurement_batch_positive_protein_count
R3SILVER:pH:5:PMC6592156:PH:pH 4.9:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 4.9:Rep1,pH,5,pH!C5,LOG_CONVERTED_LFQ_ABUNDANCE,8.5438129238650848,0.81904761904761902,211
R3SILVER:pH:5:PMC6592156:PH:pH 4.9:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 4.9:Rep2,pH,5,pH!D5,LOG_CONVERTED_LFQ_ABUNDANCE,8.3967267036952276,0.80751173708920188,214
R3SILVER:pH:5:PMC6592156:PH:pH 4.9:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 4.9:Rep3,pH,5,pH!E5,LOG_CONVERTED_LFQ_ABUNDANCE,8.2858631647527741,0.82727272727272727,221
R3SILVER:pH:5:PMC6592156:PH:pH 6.1:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 6.1:Rep1,pH,5,pH!G5,LOG_CONVERTED_LFQ_ABUNDANCE,7.6354930071797762,0.82572614107883813,242
R3SILVER:pH:5:PMC6592156:PH:pH 6.1:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 6.1:Rep2,pH,5,pH!H5,LOG_CONVERTED_LFQ_ABUNDANCE,7.9068702794633223,0.81647940074906367,268
R3SILVER:pH:5:PMC6592156:PH:pH 6.1:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 6.1:Rep3,pH,5,pH!I5,LOG_CONVERTED_LFQ_ABUNDANCE,7.7368003875630817,0.77470355731225293,254
R3SILVER:pH:5:PMC6592156:PH:pH 6.8:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 6.8:Rep1,pH,5,pH!K5,LOG_CONVERTED_LFQ_ABUNDANCE,7.8355096003287734,0.79584775086505188,290
R3SILVER:pH:5:PMC6592156:PH:pH 6.8:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 6.8:Rep2,pH,5,pH!L5,LOG_CONVERTED_LFQ_ABUNDANCE,7.4554798954303934,0.8409893992932862,284
R3SILVER:pH:5:PMC6592156:PH:pH 6.8:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 6.8:Rep3,pH,5,pH!M5,LOG_CONVERTED_LFQ_ABUNDANCE,7.7922602462236634,0.79370629370629375,287
R3SILVER:pH:5:PMC6592156:PH:pH 7.7:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 7.7:Rep1,pH,5,pH!O5,LOG_CONVERTED_LFQ_ABUNDANCE,7.7491445850034486,0.81292517006802723,295
R3SILVER:pH:5:PMC6592156:PH:pH 7.7:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 7.7:Rep2,pH,5,pH!P5,LOG_CONVERTED_LFQ_ABUNDANCE,7.8476861840467267,0.80456026058631924,308
R3SILVER:pH:5:PMC6592156:PH:pH 7.7:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 7.7:Rep3,pH,5,pH!Q5,LOG_CONVERTED_LFQ_ABUNDANCE,8.0750598600269683,0.81660899653979235,290
R3SILVER:pH:5:PMC6592156:PH:pH 8.9:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 8.9:Rep1,pH,5,pH!S5,LOG_CONVERTED_LFQ_ABUNDANCE,8.6520009195915168,0.89751552795031053,323
R3SILVER:pH:5:PMC6592156:PH:pH 8.9:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 8.9:Rep2,pH,5,pH!T5,LOG_CONVERTED_LFQ_ABUNDANCE,8.5505481846648337,0.87241379310344824,291
R3SILVER:pH:5:PMC6592156:PH:pH 8.9:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06396,PMC6592156:PH:pH 8.9:Rep3,pH,5,pH!U5,LOG_CONVERTED_LFQ_ABUNDANCE,8.5471536851276433,0.86900958466453671,314
R3SILVER:pH:26:PMC6592156:PH:pH 4.9:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 4.9:Rep1,pH,26,pH!C26,LOG_CONVERTED_LFQ_ABUNDANCE,9.2724205639627257,0.94285714285714284,211
R3SILVER:pH:26:PMC6592156:PH:pH 4.9:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 4.9:Rep2,pH,26,pH!D26,LOG_CONVERTED_LFQ_ABUNDANCE,9.0797222993540867,0.91549295774647887,214
R3SILVER:pH:26:PMC6592156:PH:pH 4.9:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 4.9:Rep3,pH,26,pH!E26,LOG_CONVERTED_LFQ_ABUNDANCE,8.8203650855273796,0.91363636363636369,221
R3SILVER:pH:26:PMC6592156:PH:pH 6.1:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 6.1:Rep1,pH,26,pH!G26,LOG_CONVERTED_LFQ_ABUNDANCE,8.1464623532056191,0.91701244813278004,242
R3SILVER:pH:26:PMC6592156:PH:pH 6.1:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 6.1:Rep2,pH,26,pH!H26,LOG_CONVERTED_LFQ_ABUNDANCE,8.6356089065601953,0.93632958801498123,268
R3SILVER:pH:26:PMC6592156:PH:pH 6.1:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 6.1:Rep3,pH,26,pH!I26,LOG_CONVERTED_LFQ_ABUNDANCE,8.4621191757710736,0.92094861660079053,254
R3SILVER:pH:26:PMC6592156:PH:pH 6.8:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 6.8:Rep1,pH,26,pH!K26,LOG_CONVERTED_LFQ_ABUNDANCE,8.716387278732034,0.92387543252595161,290
R3SILVER:pH:26:PMC6592156:PH:pH 6.8:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 6.8:Rep2,pH,26,pH!L26,LOG_CONVERTED_LFQ_ABUNDANCE,8.1903860751100677,0.93992932862190814,284
R3SILVER:pH:26:PMC6592156:PH:pH 6.8:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 6.8:Rep3,pH,26,pH!M26,LOG_CONVERTED_LFQ_ABUNDANCE,8.661519803308094,0.93706293706293708,287
R3SILVER:pH:26:PMC6592156:PH:pH 7.7:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 7.7:Rep1,pH,26,pH!O26,LOG_CONVERTED_LFQ_ABUNDANCE,8.7265699454012999,0.94897959183673475,295
R3SILVER:pH:26:PMC6592156:PH:pH 7.7:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 7.7:Rep2,pH,26,pH!P26,LOG_CONVERTED_LFQ_ABUNDANCE,9.0649189870971316,0.96742671009771986,308
R3SILVER:pH:26:PMC6592156:PH:pH 7.7:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 7.7:Rep3,pH,26,pH!Q26,LOG_CONVERTED_LFQ_ABUNDANCE,9.1492321553847535,0.95847750865051906,290
R3SILVER:pH:26:PMC6592156:PH:pH 8.9:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 8.9:Rep1,pH,26,pH!S26,LOG_CONVERTED_LFQ_ABUNDANCE,9.5523409700833977,0.98136645962732916,323
R3SILVER:pH:26:PMC6592156:PH:pH 8.9:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 8.9:Rep2,pH,26,pH!T26,LOG_CONVERTED_LFQ_ABUNDANCE,9.6413033384595277,0.98965517241379308,291
R3SILVER:pH:26:PMC6592156:PH:pH 8.9:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:PH:pH 8.9:Rep3,pH,26,pH!U26,LOG_CONVERTED_LFQ_ABUNDANCE,9.5452782446378617,0.9744408945686901,314
R3SILVER:pH:66:PMC6592156:PH:pH 4.9:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9H4B7,PMC6592156:PH:pH 4.9:Rep1,pH,66,pH!C66,LOG_CONVERTED_LFQ_ABUNDANCE,5.9656443917849451,0.057142857142857141,211
R3SILVER:pH:66:PMC6592156:PH:pH 4.9:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9H4B7,PMC6592156:PH:pH 4.9:Rep2,pH,66,pH!D66,LOG_CONVERTED_LFQ_ABUNDANCE,6.7866108869425714,0.30516431924882631,214
R3SILVER:pH:66:PMC6592156:PH:pH 4.9:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9H4B7,PMC6592156:PH:pH 4.9:Rep3,pH,66,pH!E66,LOG_CONVERTED_LFQ_ABUNDANCE,6.6509714967473288,0.34999999999999998,221
R3SILVER:pH:66:PMC6592156:PH:pH 6.1:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9H4B7,PMC6592156:PH:pH 6.1:Rep1,pH,66,pH!G66,LOG_CONVERTED_LFQ_ABUNDANCE,7.5806259937090186,0.80497925311203322,242
R3SILVER:pH:66:PMC6592156:PH:pH 6.1:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9H4B7,PMC6592156:PH:pH 6.1:Rep2,pH,66,pH!H66,LOG_CONVERTED_LFQ_ABUNDANCE,7.9336172487449366,0.82397003745318353,268
R3SILVER:pH:66:PMC6592156:PH:pH 6.1:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9H4B7,PMC6592156:PH:pH 6.1:Rep3,pH,66,pH!I66,LOG_CONVERTED_LFQ_ABUNDANCE,7.9513223286097174,0.83399209486166004,254
R3SILVER:pH:66:PMC6592156:PH:pH 6.8:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9H4B7,PMC6592156:PH:pH 6.8:Rep1,pH,66,pH!K66,LOG_CONVERTED_LFQ_ABUNDANCE,7.7639867245140808,0.7820069204152249,290
R3SILVER:pH:66:PMC6592156:PH:pH 6.8:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9H4B7,PMC6592156:PH:pH 6.8:Rep2,pH,66,pH!L66,LOG_CONVERTED_LFQ_ABUNDANCE,7.4352860717859244,0.83392226148409898,284
R3SILVER:pH:66:PMC6592156:PH:pH 6.8:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9H4B7,PMC6592156:PH:pH 6.8:Rep3,pH,66,pH!M66,LOG_CONVERTED_LFQ_ABUNDANCE,7.9985429439254929,0.8601398601398601,287
R3SILVER:pH:66:PMC6592156:PH:pH 7.7:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9H4B7,PMC6592156:PH:pH 7.7:Rep1,pH,66,pH!O66,LOG_CONVERTED_LFQ_ABUNDANCE,7.9304996762277797,0.85034013605442171,295
R3SILVER:pH:66:PMC6592156:PH:pH 7.7:Rep2,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9H4B7,PMC6592156:PH:pH 7.7:Rep2,pH,66,pH!P66,LOG_CONVERTED_LFQ_ABUNDANCE,7.9903961478788217,0.84690553745928343,308
R3SILVER:pH:66:PMC6592156:PH:pH 7.7:Rep3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9H4B7,PMC6592156:PH:pH 7.7:Rep3,pH,66,pH!Q66,LOG_CONVERTED_LFQ_ABUNDANCE,8.1915094223700873,0.83391003460207613,290
R3SILVER:pH:66:PMC6592156:PH:pH 8.9:Rep1,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9H4B7,PMC6592156:PH:pH 8.9:Rep1,pH,66,pH!S66,LOG_CONVERTED_LFQ_ABUNDANCE,8.0547236340740316,0.81055900621118016,323
