outer_fold_id,held_out_core,model_id,held_out_observation_count,mean_spearman,mean_mae,mean_rmse,primary_metric_status
T246_OUTER_01,PMC11328176_CORE_1,CONSTANT_TRAINING_MEAN,31,,0.23625253013156938,0.2700162182189078,UNDEFINED_CONSTANT_PREDICTION
T246_OUTER_01,PMC11328176_CORE_1,SEQUENCE_RIDGE_FULL,31,0.7036290322580645,0.1655802799937332,0.20340621648763327,DEFINED
T246_OUTER_01,PMC11328176_CORE_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,31,0.6048387096774194,0.1786625351069456,0.21304377864554816,DEFINED
T246_OUTER_02,PMC11328176_CORE_11,CONSTANT_TRAINING_MEAN,44,,0.23795781665389015,0.2759800210476808,UNDEFINED_CONSTANT_PREDICTION
T246_OUTER_02,PMC11328176_CORE_11,SEQUENCE_RIDGE_FULL,44,0.4503171247357294,0.21964058449578608,0.2560258776441498,DEFINED
T246_OUTER_02,PMC11328176_CORE_11,SEQUENCE_RIDGE_COMPOSITION_ONLY,44,0.33925299506694856,0.22558710284117878,0.26572582648638216,DEFINED
T246_OUTER_03,PMC11328176_CORE_13,CONSTANT_TRAINING_MEAN,32,,0.2852889209800457,0.31134898813371203,UNDEFINED_CONSTANT_PREDICTION
T246_OUTER_03,PMC11328176_CORE_13,SEQUENCE_RIDGE_FULL,32,0.5494868035190615,0.21903326263341805,0.2680766297688067,DEFINED
T246_OUTER_03,PMC11328176_CORE_13,SEQUENCE_RIDGE_COMPOSITION_ONLY,32,0.45894428152492667,0.2285642680414751,0.27900744928119897,DEFINED
T246_OUTER_04,PMC11328176_CORE_2,CONSTANT_TRAINING_MEAN,27,,0.2387972371666075,0.2722887693161005,UNDEFINED_CONSTANT_PREDICTION
T246_OUTER_04,PMC11328176_CORE_2,SEQUENCE_RIDGE_FULL,27,0.6221001221001221,0.20114753127239973,0.2256283717761159,DEFINED
T246_OUTER_04,PMC11328176_CORE_2,SEQUENCE_RIDGE_COMPOSITION_ONLY,27,0.5671550671550671,0.20685732878367297,0.23399633469963585,DEFINED
T246_OUTER_05,PMC11328176_CORE_3,CONSTANT_TRAINING_MEAN,11,,0.2506312357565302,0.271251418189232,UNDEFINED_CONSTANT_PREDICTION
T246_OUTER_05,PMC11328176_CORE_3,SEQUENCE_RIDGE_FULL,11,0.4727272727272727,0.2627547592061947,0.3076360859705271,DEFINED
T246_OUTER_05,PMC11328176_CORE_3,SEQUENCE_RIDGE_COMPOSITION_ONLY,11,0.41818181818181815,0.23515793518345277,0.28573924783626026,DEFINED
T246_OUTER_06,PMC11328176_CORE_9,CONSTANT_TRAINING_MEAN,58,,0.22982125388316713,0.2702684668953011,UNDEFINED_CONSTANT_PREDICTION
T246_OUTER_06,PMC11328176_CORE_9,SEQUENCE_RIDGE_FULL,58,0.25983573779568736,0.24643834801222025,0.2895517564416557,DEFINED
T246_OUTER_06,PMC11328176_CORE_9,SEQUENCE_RIDGE_COMPOSITION_ONLY,58,0.2079731766587714,0.24617503667534454,0.2962450212188064,DEFINED
