external_target_observation_id,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,source_worksheet,source_row,source_coordinate,author_quantity_type,author_numeric_value,rank_percentile_descending,measurement_batch_positive_protein_count
R4PMC13106918:62:LFQ intensity iST_162:R4_PMC13106918_iST_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,O00299,R4_PMC13106918_iST_1,proteinGroups.txt,62,LFQ intensity iST_162,LFQ_INTENSITY,3999700,0.25,33
R4PMC13106918:62:LFQ intensity iST_262:R4_PMC13106918_iST_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,O00299,R4_PMC13106918_iST_2,proteinGroups.txt,62,LFQ intensity iST_262,LFQ_INTENSITY,5359800,0.29032258064516131,32
R4PMC13106918:62:LFQ intensity iST_362:R4_PMC13106918_iST_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,O00299,R4_PMC13106918_iST_3,proteinGroups.txt,62,LFQ intensity iST_362,LFQ_INTENSITY,5283900,0.44827586206896552,30
R4PMC13106918:62:LFQ intensity iST_462:R4_PMC13106918_iST_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,O00299,R4_PMC13106918_iST_4,proteinGroups.txt,62,LFQ intensity iST_462,LFQ_INTENSITY,4850100,0.23333333333333334,31
R4PMC13106918:62:LFQ intensity Pmax_162:R4_PMC13106918_Pmax_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,O00299,R4_PMC13106918_Pmax_1,proteinGroups.txt,62,LFQ intensity Pmax_162,LFQ_INTENSITY,6222600,0.34482758620689657,30
R4PMC13106918:62:LFQ intensity Pmax_362:R4_PMC13106918_Pmax_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,O00299,R4_PMC13106918_Pmax_3,proteinGroups.txt,62,LFQ intensity Pmax_362,LFQ_INTENSITY,7398200,0.32142857142857145,29
R4PMC13106918:62:LFQ intensity RapiG_262:R4_PMC13106918_RapiG_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,O00299,R4_PMC13106918_RapiG_2,proteinGroups.txt,62,LFQ intensity RapiG_262,LFQ_INTENSITY,4023100,0.17857142857142858,29
R4PMC13106918:62:LFQ intensity RapiG_362:R4_PMC13106918_RapiG_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,O00299,R4_PMC13106918_RapiG_3,proteinGroups.txt,62,LFQ intensity RapiG_362,LFQ_INTENSITY,1896300,0,26
R4PMC13106918:62:LFQ intensity RapiG_462:R4_PMC13106918_RapiG_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,O00299,R4_PMC13106918_RapiG_4,proteinGroups.txt,62,LFQ intensity RapiG_462,LFQ_INTENSITY,2104700,0.080000000000000002,26
R4PMC13106918:62:LFQ intensity STD_362:R4_PMC13106918_STD_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,O00299,R4_PMC13106918_STD_3,proteinGroups.txt,62,LFQ intensity STD_362,LFQ_INTENSITY,2059300,0,21
