model_id,measurement_batch_id,protein_count,spearman,mae,rmse,biological_unit_id,spearman_status
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0010_Healthy:SP-003,33,,0.2579795019555096,0.29785765734407454,001-0010,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0010_Healthy:SP-006,34,,0.25757575757575757,0.2975926003039589,001-0010,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0010_Healthy:SP-007,30,,0.25862068965517243,0.2987607356095315,001-0010,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0010_Healthy:SP-333,18,,0.2647058823529412,0.30547466715555033,001-0010,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0010_Healthy:SP-339,30,,0.25862068965517243,0.29876073560953154,001-0010,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0018_Early:SP-003,33,,0.2579795019555096,0.29785765734407454,001-0018,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0018_Early:SP-006,33,,0.2579795019555096,0.2978576573440746,001-0018,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0018_Early:SP-007,32,,0.25806451612903225,0.2981395558982208,001-0018,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0018_Early:SP-333,18,,0.2647058823529412,0.30547466715555033,001-0018,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0018_Early:SP-339,29,,0.2590801229148902,0.29910404821323927,001-0018,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0025_Healthy:SP-003,31,,0.2584943085332844,0.29843995419635483,001-0025,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0025_Healthy:SP-006,33,,0.2579795019555096,0.29785765734407454,001-0025,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0025_Healthy:SP-007,30,,0.2586206896551724,0.29876073560953154,001-0025,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0025_Healthy:SP-333,16,,0.2666666666666667,0.3076068299246262,001-0025,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0025_Healthy:SP-339,29,,0.2590801229148902,0.29910404821323927,001-0025,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0031_Healthy:SP-003,31,,0.2584943085332844,0.29843995419635483,001-0031,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0031_Healthy:SP-006,29,,0.25908012291489024,0.2991040482132393,001-0031,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0031_Healthy:SP-007,28,,0.25925925925925924,0.29947235299997166,001-0031,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0031_Healthy:SP-333,16,,0.26666666666666666,0.30760682992462623,001-0031,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0031_Healthy:SP-339,24,,0.2608695652173913,0.3012594023707161,001-0031,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0033_Healthy:SP-003,31,,0.2584943085332844,0.29843995419635483,001-0033,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0033_Healthy:SP-006,33,,0.2579795019555096,0.29785765734407454,001-0033,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0033_Healthy:SP-007,32,,0.25806451612903225,0.2981395558982208,001-0033,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0033_Healthy:SP-333,17,,0.26548962144304805,0.30647596540647926,001-0033,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0033_Healthy:SP-339,29,,0.25908012291489024,0.29910404821323927,001-0033,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0035_Healthy:SP-003,33,,0.2579795019555096,0.29785765734407454,001-0035,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0035_Healthy:SP-006,30,,0.25862068965517243,0.29876073560953154,001-0035,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0035_Healthy:SP-007,29,,0.25908012291489024,0.2991040482132393,001-0035,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0035_Healthy:SP-333,18,,0.2647058823529412,0.30547466715555033,001-0035,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0035_Healthy:SP-339,28,,0.2592592592592593,0.29947235299997166,001-0035,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0040_Early:SP-003,33,,0.2579795019555096,0.29785765734407454,001-0040,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0040_Early:SP-006,33,,0.2579795019555096,0.29785765734407454,001-0040,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0040_Early:SP-007,31,,0.25849430853328437,0.2984399541963548,001-0040,UNDEFINED_CONSTANT_PREDICTION
