resample,selected_alpha,null_subject_equal_mean_spearman
1,10.0,-0.09169195364866571
2,100.0,0.06979852265816423
3,100.0,-0.011204800870301465
4,1.0,0.02160428379492657
5,0.01,0.02635883988748026
6,100.0,-0.34721962956112545
7,1.0,0.17273279440529135
8,1.0,0.10444376792212394
9,100.0,0.22353434482205808
10,10.0,-0.6063276221474739
11,100.0,0.17671050766372154
12,0.01,0.4536878369322623
13,10.0,0.2515887235454356
14,10.0,-0.5728457633814001
15,0.01,-0.1971861390925668
16,100.0,0.10910355258190861
17,1.0,-0.26619766287015983
18,10.0,0.37719918773482447
19,0.01,-0.051228540325610826
20,100.0,-0.5221282610919695
21,10.0,-0.1429412801319229
22,0.01,0.05624984910949067
23,100.0,-0.4709386801866037
24,1.0,0.03443067071838398
25,100.0,-0.1924896231083376
26,0.01,-0.07670017332238598
27,10.0,0.10528515281029498
28,10.0,0.02682161715611655
29,100.0,-0.3222322811457053
30,10.0,-0.2256324535423795
31,1.0,0.26108112084719015
32,0.01,-0.5552883046367969
33,10.0,0.25447961610182873
34,100.0,0.2291542521144624
35,10.0,0.648401529606165
36,10.0,0.1887324759734031
37,100.0,0.05071570767241973
38,100.0,-0.34137437585623
39,0.1,0.18299297219061134
40,100.0,0.5239217109287072
41,0.01,0.5160275977503791
42,10.0,0.31167918458911054
43,0.1,-0.008364830656042117
44,10.0,0.011432116147901092
45,0.1,-0.6203025199352272
46,100.0,-0.3604175508526189
47,10.0,-0.1550112944931487
48,0.01,0.014624017533943446
49,0.01,0.1830841259437675
50,100.0,-0.525754853481133
51,100.0,-0.17913551171093822
52,10.0,-0.3985803896341721
53,100.0,-0.19218488733574032
54,10.0,0.26674112993527094
55,0.01,-0.12187099601835082
56,10.0,-0.06481661082010902
57,1.0,0.3998819631766729
58,100.0,-0.15610366520073568
59,10.0,0.3303453886400984
60,0.01,-0.3250290585576989
61,0.1,0.41118543667078905
62,1.0,-0.31117290660797464
63,100.0,-0.10501618821032918
64,0.1,0.027504057169557772
65,100.0,-0.623223483809405
66,0.01,-0.40739466540516
67,100.0,-0.14079760875781902
68,10.0,-0.06262013333941648
69,0.01,0.14553400777493486
70,100.0,0.6045311825919616
71,100.0,-0.10152590314811584
72,10.0,0.02482659273651864
73,1.0,0.44132629743036433
