external_target_observation_id,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,source_worksheet,source_row,source_coordinate,author_quantity_type,author_numeric_value,rank_percentile_descending,measurement_batch_positive_protein_count
R4PXD068107:2:GY2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,O00151,PXD068107_NP03,2b_heatmap,2,GY2,SOURCE_DATA_INTENSITY,222198,0.50617283950617287,82
R4PXD068107:2:HI2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,O00187,PXD068107_NP03,2b_heatmap,2,HI2,SOURCE_DATA_INTENSITY,5044770,0.90123456790123457,82
R4PXD068107:2:HZ2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,O00264,PXD068107_NP03,2b_heatmap,2,HZ2,SOURCE_DATA_INTENSITY,10994.299999999999,0.037037037037037035,82
R4PXD068107:2:IE2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,O00299,PXD068107_NP03,2b_heatmap,2,IE2,SOURCE_DATA_INTENSITY,563063,0.66666666666666663,82
R4PXD068107:2:OY2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,O15145,PXD068107_NP03,2b_heatmap,2,OY2,SOURCE_DATA_INTENSITY,660403,0.70370370370370372,82
R4PXD068107:2:AAP2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,O75083,PXD068107_NP03,2b_heatmap,2,AAP2,SOURCE_DATA_INTENSITY,497571,0.61728395061728392,82
R4PXD068107:2:AVX2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,P04004,PXD068107_NP03,2b_heatmap,2,AVX2,SOURCE_DATA_INTENSITY,307797000,1,82
R4PXD068107:2:AWW2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,P04264,PXD068107_NP03,2b_heatmap,2,AWW2,SOURCE_DATA_INTENSITY,77951300,0.97530864197530864,82
R4PXD068107:2:AXU2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,P05023,PXD068107_NP03,2b_heatmap,2,AXU2,SOURCE_DATA_INTENSITY,1091860,0.80246913580246915,82
R4PXD068107:2:AZG2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,P05556,PXD068107_NP03,2b_heatmap,2,AZG2,SOURCE_DATA_INTENSITY,899259,0.77777777777777779,82
R4PXD068107:2:BAA2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,P06396,PXD068107_NP03,2b_heatmap,2,BAA2,SOURCE_DATA_INTENSITY,65610500,0.96296296296296291,82
R4PXD068107:2:BAC2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,P06576,PXD068107_NP03,2b_heatmap,2,BAC2,SOURCE_DATA_INTENSITY,877143,0.76543209876543206,82
R4PXD068107:2:BCX2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,P07996,PXD068107_NP03,2b_heatmap,2,BCX2,SOURCE_DATA_INTENSITY,134834000,0.98765432098765427,82
R4PXD068107:2:BJV2:PXD068107_NP03,PXD068107_WESTLAKE_OMNIPROT_TECHNICAL,Westlake University,P10599,PXD068107_NP03,2b_heatmap,2,BJV2,SOURCE_DATA_INTENSITY,528149,0.64197530864197527,82
