measurement_batch_id,biological_unit_id,condition_labels,source_asset_ids,raw_row_count,analysis_candidate_row_count,rank_target_eligible_row_count,source_na_row_count,primary_rank_eligible,rank_retention_rate
R4_PMC11544298_data_1_B_complex_1000_Rep_1,POOLED_HUMAN_PLASMA,B-complex_1000,data_1,47,47,46,1,True,0.9787234042553191
R4_PMC11544298_data_1_B_complex_1000_Rep_2,POOLED_HUMAN_PLASMA,B-complex_1000,data_1,47,47,44,3,True,0.9361702127659575
R4_PMC11544298_data_1_B_complex_1000_Rep_3,POOLED_HUMAN_PLASMA,B-complex_1000,data_1,47,47,44,3,True,0.9361702127659575
R4_PMC11544298_data_1_B_complex_100_Rep_1,POOLED_HUMAN_PLASMA,B-complex_100,data_1,46,46,40,6,True,0.8695652173913043
R4_PMC11544298_data_1_B_complex_100_Rep_2,POOLED_HUMAN_PLASMA,B-complex_100,data_1,46,46,41,5,True,0.8913043478260869
R4_PMC11544298_data_1_B_complex_100_Rep_3,POOLED_HUMAN_PLASMA,B-complex_100,data_1,46,46,42,4,True,0.9130434782608695
R4_PMC11544298_data_1_B_complex_10_Rep_1,POOLED_HUMAN_PLASMA,B-complex_10,data_1,52,52,50,2,True,0.9615384615384616
R4_PMC11544298_data_1_B_complex_10_Rep_2,POOLED_HUMAN_PLASMA,B-complex_10,data_1,52,52,51,1,True,0.9807692307692307
R4_PMC11544298_data_1_B_complex_10_Rep_3,POOLED_HUMAN_PLASMA,B-complex_10,data_1,52,52,50,2,True,0.9615384615384616
R4_PMC11544298_data_1_Diglycerol_1000_Rep_1,POOLED_HUMAN_PLASMA,Diglycerol_1000,data_1,51,51,48,3,True,0.9411764705882353
R4_PMC11544298_data_1_Diglycerol_1000_Rep_2,POOLED_HUMAN_PLASMA,Diglycerol_1000,data_1,51,51,49,2,True,0.9607843137254902
R4_PMC11544298_data_1_Diglycerol_1000_Rep_3,POOLED_HUMAN_PLASMA,Diglycerol_1000,data_1,51,51,49,2,True,0.9607843137254902
R4_PMC11544298_data_1_Diglycerol_100_Rep_1,POOLED_HUMAN_PLASMA,Diglycerol_100,data_1,58,58,48,10,True,0.8275862068965517
R4_PMC11544298_data_1_Diglycerol_100_Rep_2,POOLED_HUMAN_PLASMA,Diglycerol_100,data_1,58,58,49,9,True,0.8448275862068966
R4_PMC11544298_data_1_Diglycerol_100_Rep_3,POOLED_HUMAN_PLASMA,Diglycerol_100,data_1,58,58,49,9,True,0.8448275862068966
R4_PMC11544298_data_1_Diglycerol_10_Rep_1,POOLED_HUMAN_PLASMA,Diglycerol_10,data_1,61,61,57,4,True,0.9344262295081968
R4_PMC11544298_data_1_Diglycerol_10_Rep_2,POOLED_HUMAN_PLASMA,Diglycerol_10,data_1,61,61,59,2,True,0.9672131147540983
R4_PMC11544298_data_1_Diglycerol_10_Rep_3,POOLED_HUMAN_PLASMA,Diglycerol_10,data_1,61,61,59,2,True,0.9672131147540983
R4_PMC11544298_data_1_Glucose_1000_Rep_1,POOLED_HUMAN_PLASMA,Glucose_1000,data_1,50,50,47,3,True,0.94
R4_PMC11544298_data_1_Glucose_1000_Rep_2,POOLED_HUMAN_PLASMA,Glucose_1000,data_1,50,50,46,4,True,0.92
R4_PMC11544298_data_1_Glucose_1000_Rep_3,POOLED_HUMAN_PLASMA,Glucose_1000,data_1,50,50,45,5,True,0.9
R4_PMC11544298_data_1_Glucose_100_Rep_1,POOLED_HUMAN_PLASMA,Glucose_100,data_1,58,58,53,5,True,0.9137931034482759
R4_PMC11544298_data_1_Glucose_100_Rep_2,POOLED_HUMAN_PLASMA,Glucose_100,data_1,58,58,53,5,True,0.9137931034482759
R4_PMC11544298_data_1_Glucose_100_Rep_3,POOLED_HUMAN_PLASMA,Glucose_100,data_1,58,58,52,6,True,0.896551724137931
R4_PMC11544298_data_1_Glucose_10_Rep_1,POOLED_HUMAN_PLASMA,Glucose_10,data_1,56,56,53,3,True,0.9464285714285714
R4_PMC11544298_data_1_Glucose_10_Rep_2,POOLED_HUMAN_PLASMA,Glucose_10,data_1,56,56,53,3,True,0.9464285714285714
R4_PMC11544298_data_1_Glucose_10_Rep_3,POOLED_HUMAN_PLASMA,Glucose_10,data_1,56,56,54,2,True,0.9642857142857143
R4_PMC11544298_data_1_IMP_1000_Rep_1,POOLED_HUMAN_PLASMA,IMP_1000,data_1,46,46,44,2,True,0.9565217391304348
R4_PMC11544298_data_1_IMP_1000_Rep_2,POOLED_HUMAN_PLASMA,IMP_1000,data_1,46,46,43,3,True,0.9347826086956522
R4_PMC11544298_data_1_IMP_1000_Rep_3,POOLED_HUMAN_PLASMA,IMP_1000,data_1,46,46,43,3,True,0.9347826086956522
R4_PMC11544298_data_1_IMP_100_Rep_1,POOLED_HUMAN_PLASMA,IMP_100,data_1,64,64,62,2,True,0.96875
R4_PMC11544298_data_1_IMP_100_Rep_2,POOLED_HUMAN_PLASMA,IMP_100,data_1,64,64,63,1,True,0.984375
R4_PMC11544298_data_1_IMP_100_Rep_3,POOLED_HUMAN_PLASMA,IMP_100,data_1,64,64,63,1,True,0.984375
R4_PMC11544298_data_1_IMP_10_Rep_1,POOLED_HUMAN_PLASMA,IMP_10,data_1,51,51,44,7,True,0.8627450980392157
R4_PMC11544298_data_1_IMP_10_Rep_2,POOLED_HUMAN_PLASMA,IMP_10,data_1,51,51,41,10,True,0.803921568627451
R4_PMC11544298_data_1_IMP_10_Rep_3,POOLED_HUMAN_PLASMA,IMP_10,data_1,51,51,42,9,True,0.8235294117647058
R4_PMC11544298_data_1_PC0_NA_Rep_1,POOLED_HUMAN_PLASMA,PC0_NA,data_1,65,65,62,3,True,0.9538461538461539
R4_PMC11544298_data_1_PC0_NA_Rep_2,POOLED_HUMAN_PLASMA,PC0_NA,data_1,65,65,64,1,True,0.9846153846153847
R4_PMC11544298_data_1_PC0_NA_Rep_3,POOLED_HUMAN_PLASMA,PC0_NA,data_1,65,65,64,1,True,0.9846153846153847
R4_PMC11544298_data_1_PE_1000_Rep_1,POOLED_HUMAN_PLASMA,PE_1000,data_1,52,52,46,6,True,0.8846153846153846
R4_PMC11544298_data_1_PE_1000_Rep_2,POOLED_HUMAN_PLASMA,PE_1000,data_1,52,52,46,6,True,0.8846153846153846
R4_PMC11544298_data_1_PE_1000_Rep_3,POOLED_HUMAN_PLASMA,PE_1000,data_1,52,52,47,5,True,0.9038461538461539
R4_PMC11544298_data_1_PE_100_Rep_1,POOLED_HUMAN_PLASMA,PE_100,data_1,51,51,45,6,True,0.8823529411764706
R4_PMC11544298_data_1_PE_100_Rep_2,POOLED_HUMAN_PLASMA,PE_100,data_1,51,51,45,6,True,0.8823529411764706
R4_PMC11544298_data_1_PE_100_Rep_3,POOLED_HUMAN_PLASMA,PE_100,data_1,51,51,47,4,True,0.9215686274509803
R4_PMC11544298_data_1_PE_10_Rep_1,POOLED_HUMAN_PLASMA,PE_10,data_1,51,51,48,3,True,0.9411764705882353
R4_PMC11544298_data_1_PE_10_Rep_2,POOLED_HUMAN_PLASMA,PE_10,data_1,51,51,46,5,True,0.9019607843137255
R4_PMC11544298_data_1_PE_10_Rep_3,POOLED_HUMAN_PLASMA,PE_10,data_1,51,51,48,3,True,0.9411764705882353
R4_PMC11544298_data_1_Plasma_NA_Rep_1,POOLED_HUMAN_PLASMA,Plasma_NA,data_1,5,0,0,1,False,
