external_target_observation_id,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,source_worksheet,source_row,source_coordinate,author_quantity_type,author_numeric_value,rank_percentile_descending,measurement_batch_positive_protein_count
R4PMC11544298:data_1:Supp Data 1:15:R4_PMC11544298_data_1_PE_10_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P07996,R4_PMC11544298_data_1_PE_10_Rep_1,Supp Data 1,15,I15,NORMALIZED_INTENSITY,0.003347381,0.97872340425531912,48
R4PMC11544298:data_1:Supp Data 1:15:R4_PMC11544298_data_1_PE_10_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P07996,R4_PMC11544298_data_1_PE_10_Rep_2,Supp Data 1,15,J15,NORMALIZED_INTENSITY,0.0034753269999999998,0.97777777777777775,46
R4PMC11544298:data_1:Supp Data 1:15:R4_PMC11544298_data_1_PE_10_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P07996,R4_PMC11544298_data_1_PE_10_Rep_3,Supp Data 1,15,K15,NORMALIZED_INTENSITY,0.003472321,0.97872340425531912,48
R4PMC11544298:data_1:Supp Data 1:20:R4_PMC11544298_data_1_PE_10_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P06396,R4_PMC11544298_data_1_PE_10_Rep_1,Supp Data 1,20,I20,NORMALIZED_INTENSITY,0.0028690320000000001,0.95744680851063835,48
R4PMC11544298:data_1:Supp Data 1:20:R4_PMC11544298_data_1_PE_10_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P06396,R4_PMC11544298_data_1_PE_10_Rep_2,Supp Data 1,20,J20,NORMALIZED_INTENSITY,0.0028834749999999999,0.9555555555555556,46
R4PMC11544298:data_1:Supp Data 1:20:R4_PMC11544298_data_1_PE_10_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P06396,R4_PMC11544298_data_1_PE_10_Rep_3,Supp Data 1,20,K20,NORMALIZED_INTENSITY,0.0028738660000000001,0.95744680851063835,48
R4PMC11544298:data_1:Supp Data 1:44:R4_PMC11544298_data_1_PE_10_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P04004,R4_PMC11544298_data_1_PE_10_Rep_1,Supp Data 1,44,I44,NORMALIZED_INTENSITY,0.030532258999999999,1,48
R4PMC11544298:data_1:Supp Data 1:44:R4_PMC11544298_data_1_PE_10_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P04004,R4_PMC11544298_data_1_PE_10_Rep_2,Supp Data 1,44,J44,NORMALIZED_INTENSITY,0.030245825,1,46
R4PMC11544298:data_1:Supp Data 1:44:R4_PMC11544298_data_1_PE_10_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P04004,R4_PMC11544298_data_1_PE_10_Rep_3,Supp Data 1,44,K44,NORMALIZED_INTENSITY,0.03049582,1,48
R4PMC11544298:data_1:Supp Data 1:74:R4_PMC11544298_data_1_PE_10_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P68366,R4_PMC11544298_data_1_PE_10_Rep_1,Supp Data 1,74,I74,NORMALIZED_INTENSITY,0.00041491800000000001,0.8936170212765957,48
R4PMC11544298:data_1:Supp Data 1:74:R4_PMC11544298_data_1_PE_10_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P68366,R4_PMC11544298_data_1_PE_10_Rep_2,Supp Data 1,74,J74,NORMALIZED_INTENSITY,0.000417224,0.88888888888888884,46
R4PMC11544298:data_1:Supp Data 1:74:R4_PMC11544298_data_1_PE_10_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P68366,R4_PMC11544298_data_1_PE_10_Rep_3,Supp Data 1,74,K74,NORMALIZED_INTENSITY,0.00039269899999999999,0.8936170212765957,48
R4PMC11544298:data_1:Supp Data 1:79:R4_PMC11544298_data_1_PE_10_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P04264,R4_PMC11544298_data_1_PE_10_Rep_1,Supp Data 1,79,I79,NORMALIZED_INTENSITY,0.000504413,0.93617021276595747,48
R4PMC11544298:data_1:Supp Data 1:79:R4_PMC11544298_data_1_PE_10_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P04264,R4_PMC11544298_data_1_PE_10_Rep_2,Supp Data 1,79,J79,NORMALIZED_INTENSITY,0.00050378900000000004,0.93333333333333335,46
R4PMC11544298:data_1:Supp Data 1:79:R4_PMC11544298_data_1_PE_10_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P04264,R4_PMC11544298_data_1_PE_10_Rep_3,Supp Data 1,79,K79,NORMALIZED_INTENSITY,0.00050361500000000001,0.93617021276595747,48
R4PMC11544298:data_1:Supp Data 1:88:R4_PMC11544298_data_1_PE_10_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P05556,R4_PMC11544298_data_1_PE_10_Rep_1,Supp Data 1,88,I88,NORMALIZED_INTENSITY,0.00020282899999999999,0.85106382978723405,48
R4PMC11544298:data_1:Supp Data 1:88:R4_PMC11544298_data_1_PE_10_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P05556,R4_PMC11544298_data_1_PE_10_Rep_2,Supp Data 1,88,J88,NORMALIZED_INTENSITY,0.00021704999999999999,0.8666666666666667,46
R4PMC11544298:data_1:Supp Data 1:88:R4_PMC11544298_data_1_PE_10_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P05556,R4_PMC11544298_data_1_PE_10_Rep_3,Supp Data 1,88,K88,NORMALIZED_INTENSITY,0.00021066800000000001,0.87234042553191493,48
R4PMC11544298:data_1:Supp Data 1:115:R4_PMC11544298_data_1_PE_10_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q14247,R4_PMC11544298_data_1_PE_10_Rep_1,Supp Data 1,115,I115,NORMALIZED_INTENSITY,6.6699999999999995e-05,0.74468085106382975,48
R4PMC11544298:data_1:Supp Data 1:115:R4_PMC11544298_data_1_PE_10_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q14247,R4_PMC11544298_data_1_PE_10_Rep_2,Supp Data 1,115,J115,NORMALIZED_INTENSITY,6.7399999999999998e-05,0.72222222222222221,46
R4PMC11544298:data_1:Supp Data 1:115:R4_PMC11544298_data_1_PE_10_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q14247,R4_PMC11544298_data_1_PE_10_Rep_3,Supp Data 1,115,K115,NORMALIZED_INTENSITY,6.7399999999999998e-05,0.74468085106382975,48
R4PMC11544298:data_1:Supp Data 1:133:R4_PMC11544298_data_1_PE_10_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,O00151,R4_PMC11544298_data_1_PE_10_Rep_1,Supp Data 1,133,I133,NORMALIZED_INTENSITY,9.59e-05,0.78723404255319152,48
R4PMC11544298:data_1:Supp Data 1:133:R4_PMC11544298_data_1_PE_10_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,O00151,R4_PMC11544298_data_1_PE_10_Rep_2,Supp Data 1,133,J133,NORMALIZED_INTENSITY,9.5500000000000004e-05,0.77777777777777779,46
R4PMC11544298:data_1:Supp Data 1:133:R4_PMC11544298_data_1_PE_10_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,O00151,R4_PMC11544298_data_1_PE_10_Rep_3,Supp Data 1,133,K133,NORMALIZED_INTENSITY,9.4099999999999997e-05,0.80851063829787229,48
R4PMC11544298:data_1:Supp Data 1:134:R4_PMC11544298_data_1_PE_10_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q9NY65,R4_PMC11544298_data_1_PE_10_Rep_1,Supp Data 1,134,I134,NORMALIZED_INTENSITY,1.0200000000000001e-05,0.46808510638297873,48
R4PMC11544298:data_1:Supp Data 1:134:R4_PMC11544298_data_1_PE_10_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q9NY65,R4_PMC11544298_data_1_PE_10_Rep_2,Supp Data 1,134,J134,NORMALIZED_INTENSITY,6.99e-06,0.35555555555555557,46
R4PMC11544298:data_1:Supp Data 1:134:R4_PMC11544298_data_1_PE_10_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q9NY65,R4_PMC11544298_data_1_PE_10_Rep_3,Supp Data 1,134,K134,NORMALIZED_INTENSITY,1.08e-05,0.46808510638297873,48
R4PMC11544298:data_1:Supp Data 1:135:R4_PMC11544298_data_1_PE_10_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q9H4B7,R4_PMC11544298_data_1_PE_10_Rep_1,Supp Data 1,135,I135,NORMALIZED_INTENSITY,0.000130789,0.80851063829787229,48
R4PMC11544298:data_1:Supp Data 1:135:R4_PMC11544298_data_1_PE_10_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q9H4B7,R4_PMC11544298_data_1_PE_10_Rep_2,Supp Data 1,135,J135,NORMALIZED_INTENSITY,0.00013583399999999999,0.82222222222222219,46
