target_observation_id,source_id,laboratory_anchor,source_license,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,source_sample,condition_label,technical_replicate_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible,prefrozen_target_universe_member,multi_accession_group_flag,source_local_rank_percentile,source_batch_positive_count,cross_source_scale_use
T193_006d16068c4622c0c046,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P68363,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO50,,blood_proteomics_xlsx,usGO 0h vs 6h,15,S15,TBA1A_HUMAN;TBA1B_HUMAN;A0A1W2PQM2_HUMAN;B4DDU2_HUMAN;B4DQK4_HUMAN;Q8N532_HUMAN;TBA3C_HUMAN;TBA3E_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0018319166331706418,POSITIVE_FINITE,true,true,true,0.63157894736842102,20,PROHIBITED
T193_0071217a3e2611999130,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P27348,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO125,,blood_proteomics_xlsx,usGO 0h vs 6h,604,N604,1433B_HUMAN;1433T_HUMAN;A0A0J9YWE8_HUMAN;1433F_HUMAN;A0A0J9YWZ2_HUMAN,,,,NORMALIZED_ABUNDANCE,3.8723046117050949e-05,POSITIVE_FINITE,true,true,true,0.1111111111111111,19,PROHIBITED
T193_00932266bff6e688d607,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",CC0,P04264,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,Proteins,361,AF361,P04264,,PLA,,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,5258766968.70414,POSITIVE,true,true,false,1,16,PROHIBITED
T193_00dd0b86858e08588ef2,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P26038,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO83,,blood_proteomics_xlsx,sGO 0h v 6h,169,U169,MOES_HUMAN;Q6PJT4_HUMAN;EZRI_HUMAN;B7Z4C7_HUMAN;B7Z5V2_HUMAN;B7Z2S7_HUMAN;Q9UJZ7_HUMAN;Q9UJZ8_HUMAN;V9GZ54_HUMAN;E9PNV3_HUMAN,,,,NORMALIZED_ABUNDANCE,0.002515021565850129,POSITIVE_FINITE,true,true,true,0.61111111111111116,19,PROHIBITED
T193_0130a50adc4b1e1d718b,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P06396,PT_D1_23,PT_D1_23,protein_groups,,178,LFQ intensity PT_D1_23_2_S1-H1_6688:178,P06396;CON__Q3SX14,PT_D1_23_2_S1-H1_6688,,2,,1786200.0,POSITIVE,true,true,true,0.9285714285714286,15,PROHIBITED
T193_0139a72fb798526bf697,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P61026,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO36,,blood_proteomics_xlsx,usGO 0h vs 6h,224,R224,A0A024R7I3_HUMAN;RAB10_HUMAN;RAB13_HUMAN;RAB3A_HUMAN;B7Z8M7_HUMAN;RAB12_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0012333046858283368,POSITIVE_FINITE,true,true,true,0.66666666666666663,19,PROHIBITED
T193_018d0daeeb77795d4e32,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04264,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO53,,blood_proteomics_xlsx,usGO 0h vs 6h,66,T66,K2C1_HUMAN;H6VRG3_HUMAN;H6VRF9_HUMAN;F8VP67_HUMAN;A0A1W2PQU7_HUMAN,,,,NORMALIZED_ABUNDANCE,0.22196836580295853,POSITIVE_FINITE,true,true,true,1,19,PROHIBITED
T193_020b048f88f18029d4d8,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",CC0,P60174,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,Proteins,150,Y150,P60174,,A_PLA,,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,1553711.05660572,POSITIVE,true,true,false,0.26315789473684209,20,PROHIBITED
T193_022e43ad9c567f129321,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P26038,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO115,,blood_proteomics_xlsx,usGO 0h vs 6h,86,Y86,MOES_HUMAN;Q6PJT4_HUMAN;B7Z4C7_HUMAN;RADI_HUMAN;B7Z2S7_HUMAN;Q9UJZ2_HUMAN;Q9UJZ7_HUMAN;Q9UJZ8_HUMAN;V9GZ54_HUMAN;E9PNV3_HUMAN,,,,NORMALIZED_ABUNDANCE,0.00245632567703936,POSITIVE_FINITE,true,true,true,0.73684210526315785,20,PROHIBITED
T193_0244e8667215b4573632,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,Q04695,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO50,,blood_proteomics_xlsx,usGO 0h vs 6h,381,S381,K1C17_HUMAN;F5GWP8_HUMAN;Q14666_HUMAN;K7EPJ9_HUMAN;B4E2P9_HUMAN;B4DJM5_HUMAN;K7ESE1_HUMAN,,,,NORMALIZED_ABUNDANCE,0.007355326898721079,POSITIVE_FINITE,true,true,true,0.89473684210526316,20,PROHIBITED
T193_027b9dcb4556170a14ba,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P06396,PT_D1_20,PT_D1_20,protein_groups,,178,LFQ intensity PT_D1_20_1_S1-E1_6673:178,P06396;CON__Q3SX14,PT_D1_20_1_S1-E1_6673,,1,,2257000.0,POSITIVE,true,true,true,0.72727272727272729,12,PROHIBITED
T193_0281eebeb8a988fa794f,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P04004,PT_D3_96,PT_D3_96,protein_groups,,149,LFQ intensity PT_D3_96_1_S1-A4_6647:149,P04004;CON__Q3ZBS7,PT_D3_96_1_S1-A4_6647,,1,,2625100.0,POSITIVE,true,true,true,0.8571428571428571,15,PROHIBITED
T193_029c68f36f38d63c37a7,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P06396,PT_D3_06,PT_D3_06,protein_groups,,178,LFQ intensity PT_D3_06_2_S1-F5_6682:178,P06396;CON__Q3SX14,PT_D3_06_2_S1-F5_6682,,2,,2770800.0,POSITIVE,true,true,true,0.9285714285714286,15,PROHIBITED
T193_02aa4db832a4f6e47e14,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",CC0,P06396,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,Proteins,333,AD333,P06396,,PLA,,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,1250325103.99432,POSITIVE,true,true,false,0.9375,17,PROHIBITED
T193_02d7582cd29ddb135b4f,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P27348,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO60,,blood_proteomics_xlsx,usGO 0h vs 6h,604,H604,1433B_HUMAN;1433T_HUMAN;A0A0J9YWE8_HUMAN;1433F_HUMAN;A0A0J9YWZ2_HUMAN,,,,NORMALIZED_ABUNDANCE,3.105747600190289e-05,POSITIVE_FINITE,true,true,true,0.055555555555555552,19,PROHIBITED
T193_030821b780c44560483c,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q9HDC9,PT_D1_73,PT_D1_73,protein_groups,,385,LFQ intensity PT_D1_73_2_S1-B3_6646:385,Q9HDC9,PT_D1_73_2_S1-B3_6646,,2,,42058.0,POSITIVE,true,true,false,0.59999999999999998,16,PROHIBITED
T193_032ffedcabe506d153b5,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,O00187,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO115,,blood_proteomics_xlsx,usGO 0h vs 6h,420,Y420,MASP2_HUMAN,,,,NORMALIZED_ABUNDANCE,0.00037359800768441099,POSITIVE_FINITE,true,true,false,0.21052631578947367,20,PROHIBITED
T193_035094ff3af91c1a8616,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P27348,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO5,,blood_proteomics_xlsx,usGO 0h vs 6h,604,C604,1433B_HUMAN;1433T_HUMAN;A0A0J9YWE8_HUMAN;1433F_HUMAN;A0A0J9YWZ2_HUMAN,,,,NORMALIZED_ABUNDANCE,0.00195962876428191,POSITIVE_FINITE,true,true,true,0.26315789473684209,20,PROHIBITED
T193_039f5f2aa7756acdeb15,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P37802,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO16,,blood_proteomics_xlsx,sGO 0h v 6h,438,P438,TAGL2_HUMAN,,,,NORMALIZED_ABUNDANCE,7.4676796697052637e-05,POSITIVE_FINITE,true,true,false,0,18,PROHIBITED
T193_03a3c9c3b4167d3d260b,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P37802,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO121,,blood_proteomics_xlsx,usGO 0h vs 6h,772,AA772,TAGL2_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0003720875266228572,POSITIVE_FINITE,true,true,false,0.33333333333333331,19,PROHIBITED
