outer_fold_id,held_out_source_id,resample,selected_alpha,null_mean_spearman
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,1,0.01,0.2542759961127308
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,2,100.0,0.20660835762876578
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,3,0.1,-0.13722060252672497
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,4,100.0,0.03741496598639456
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,5,100.0,-0.21122448979591835
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,6,100.0,-0.396793002915452
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,7,100.0,-0.20213799805636537
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,8,100.0,0.11802721088435374
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,9,100.0,-0.3047619047619048
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,10,100.0,-0.02677356656948494
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,11,100.0,0.12730806608357628
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,12,100.0,-0.08119533527696793
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,13,100.0,-0.0012633624878522856
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,14,0.1,0.08561710398445092
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,15,100.0,0.44241982507288624
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,16,1.0,-0.28391642371234205
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,17,100.0,0.19572400388726918
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,18,100.0,-0.09625850340136055
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,19,0.01,-0.6580660835762876
