target_observation_id,outer_fold_id,split_role,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_row,source_coordinate,source_identifier,author_numeric_value,source_local_rank_percentile,source_batch_positive_count,target_membership_basis,cross_source_scale_use,target_universe_count
T197_021b62898b949cde9f55,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P06576,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,332,Z332,P06576,884027.821653308,0.055555555555555552,19,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_0e5a4253b2cbe62ca7f8,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P06396,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,333,Y333,P06396,79534562.772273,0.84210526315789469,20,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_1769dbb89fe15a028c29,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P07996,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,313,Z313,P07996,25940349.6601862,0.77777777777777779,19,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_1aa4b8aefe270fe36d44,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P04264,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,361,AE361,P04264,5153255298.18782,1,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_26f6abb78a42aa6edaea,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P11021,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,277,AE277,P11021,658442.062931631,0.26666666666666666,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_26fcda577780b1ec4137,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P04264,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,361,AF361,P04264,5258766968.70414,1,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_27341bc72933a70537a5,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P26038,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,210,AF210,P26038,598788.415817874,0.20000000000000001,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_29d669c3838bdfc69431,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P04264,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,361,Y361,P04264,7773218238.68741,1,20,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_39cd2edbb58f791ee85d,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",Q9HDC9,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,21,X21,Q9HDC9,5090793.466849,0.55000000000000004,21,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_3a204ebd8ec0a88a6858,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P06396,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,333,Z333,P06396,85997071.7557364,0.83333333333333337,19,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_439747db81ac65e97e22,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P07996,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,313,X313,P07996,25396053.2022848,0.75,21,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_4838d5bb79c7006b5cce,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P04004,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,372,AD372,P04004,1031422622.08276,0.875,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_48a042fe7ad5d7116d13,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",Q04695,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,117,Z117,Q04695,126194981.453351,0.88888888888888884,19,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_4b72f8624d2f5c874651,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",Q9HDC9,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,21,AE21,Q9HDC9,10627903.6481485,0.59999999999999998,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_5613f0ac18226c68c800,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P06396,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,333,AF333,P06396,1298624449.66863,0.93333333333333335,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_56aa7b2950913a253e8a,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P13796,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,260,AE260,P13796,17890537.2386419,0.80000000000000004,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_593cdec85ecdcfb01430,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P06396,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,333,AE333,P06396,1308700630.35647,0.93333333333333335,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_5bb7c5379497a043ac2f,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P05556,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,338,Z338,P05556,106270.271043286,0,19,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_6004354d6ed2b048e78a,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P06396,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,333,AD333,P06396,1250325103.99432,0.9375,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_652693c2061804ad6123,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P06396,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,333,X333,P06396,88216772.9016112,0.80000000000000004,21,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_656770fdbac3e926e6c7,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P04004,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,372,Z372,P04004,3800815025.13712,0.94444444444444442,19,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_677f3e74a80a6f3d2d2f,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P05556,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,338,X338,P05556,122415.951580702,0,21,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_6b07e59c553e3cbb8038,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P07996,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,313,AE313,P07996,16382411.0547407,0.73333333333333328,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_6be7e681acb9bf2ff02c,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P11021,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,277,Y277,P11021,2150826.70467626,0.36842105263157893,20,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_6ed2b9e43a497ce86c6f,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P13796,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,260,X260,P13796,1179568.49522015,0.20000000000000001,21,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_6f36ea922979a67a037b,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P26038,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,210,X210,P26038,8228727.87780495,0.59999999999999998,21,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_6f98d009662e4a15dad8,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P04004,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,372,Y372,P04004,3869148197.49651,0.94736842105263153,20,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_70594a7e92a3f95fa6e5,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P13796,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,260,AD260,P13796,18509040.985896,0.8125,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_77a1f7b75998d6744212,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P07996,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,313,AD313,P07996,16426880.427371,0.75,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_7f95a2a64c3cadbfe856,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",Q9HDC9,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,21,Z21,Q9HDC9,6858851.26176904,0.55555555555555558,19,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_82f709c7f95f7351553d,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",Q9HDC9,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,21,Y21,Q9HDC9,6781990.76911542,0.57894736842105265,20,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_831c2bfc13b671cde820,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P60174,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,150,X150,P60174,1339732.02955889,0.29999999999999999,21,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_87c1ad5e91a603b8f664,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",Q04695,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,117,X117,Q04695,123660104.181664,0.84999999999999998,21,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_8823a7963a294da0832d,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P60174,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,150,AE150,P60174,851369.757886173,0.33333333333333331,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_88e6469bb485f3dfc66f,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P05556,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,338,Y338,P05556,132063.122220493,0,20,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_8e640896aa9bf5d6a568,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P11021,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,277,AF277,P11021,666896.836753111,0.33333333333333331,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_924020f2aba24c414ebc,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P60174,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,150,Y150,P60174,1553711.05660572,0.26315789473684209,20,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_93be34be95ffa0a4226e,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",Q04695,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,117,AF117,Q04695,3993390.73277863,0.53333333333333333,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_95a99c754b84415ea8b1,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P04264,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,361,Z361,P04264,7494963680.71556,1,19,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_a2f3a29a87d6c6ca7661,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P04004,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,372,AF372,P04004,918010001.270164,0.8666666666666667,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_a302d7ddae5f2e29a2fa,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",Q04695,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,117,Y117,Q04695,122267959.080637,0.89473684210526316,20,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_a312723ba185ad5f45de,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P07996,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,313,Y313,P07996,26125088.7938226,0.78947368421052633,20,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_a65dbacb972f2d810453,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P11021,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,277,X277,P11021,2291233.63447373,0.40000000000000002,21,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_a95cd8439f14e8ea6542,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P26038,R4_PXD060795_F2,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,210,Y210,P26038,7975551.45057255,0.63157894736842102,20,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_afb15c0f1057cc5ad845,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P07996,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,313,AF313,P07996,16055149.4942146,0.73333333333333328,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_b11b1616930fb4f03559,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P13796,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,260,Z260,P13796,1372276.68311471,0.27777777777777779,19,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_b1b01651f450e4d6a169,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P26038,R4_PXD060795_F3,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,210,Z210,P26038,7739944.47198654,0.61111111111111116,19,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_b1c89f3f8955320472c9,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",Q04695,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,117,AE117,Q04695,4293029.13378392,0.53333333333333333,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_b2aec4a5ccb4ed8507a7,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P04004,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,372,X372,P04004,3812800720.77434,0.94999999999999996,21,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_b43337a4bbd53cf72555,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P04004,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,372,AE372,P04004,938818204.338436,0.8666666666666667,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_b5bb16d82037b863618c,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P13796,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,260,AF260,P13796,19143565.1334373,0.80000000000000004,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_b7c11a4beef8d4304046,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P06576,R4_PXD060795_F1,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,332,X332,P06576,1018521.63887811,0.14999999999999999,21,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_be772c4e69901fdd33df,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P05556,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,338,AF338,P05556,266889.478713306,0,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_bf8cb043207ee2b53118,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P04264,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,361,AD361,P04264,5163374773.74431,1,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_c031a822fe64fcc00300,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",Q9HDC9,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,21,AD21,Q9HDC9,9643346.24138075,0.625,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_c55983306279a4fdf8f4,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P05556,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,338,AE338,P05556,179982.659446292,0,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
T197_c5b9516ac37d55a5de4d,T197_OUTER_01,DEVELOPMENT,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",P11021,R4_PXD060795_F7,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,277,AD277,P11021,553854.168167732,0.1875,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,12
