threshold,dimension,stratum,measurement_batch_count,qualified_batch_count,qualification_rate,biological_unit_count
5,biological_unit_id,001-0010,5,5,1.0,1
7,biological_unit_id,001-0010,5,5,1.0,1
10,biological_unit_id,001-0010,5,5,1.0,1
12,biological_unit_id,001-0010,5,5,1.0,1
15,biological_unit_id,001-0010,5,5,1.0,1
20,biological_unit_id,001-0010,5,4,0.8,1
25,biological_unit_id,001-0010,5,4,0.8,1
30,biological_unit_id,001-0010,5,4,0.8,1
5,biological_unit_id,001-0018,5,5,1.0,1
7,biological_unit_id,001-0018,5,5,1.0,1
10,biological_unit_id,001-0018,5,5,1.0,1
12,biological_unit_id,001-0018,5,5,1.0,1
15,biological_unit_id,001-0018,5,5,1.0,1
20,biological_unit_id,001-0018,5,4,0.8,1
25,biological_unit_id,001-0018,5,4,0.8,1
30,biological_unit_id,001-0018,5,3,0.6,1
5,biological_unit_id,001-0025,5,5,1.0,1
7,biological_unit_id,001-0025,5,5,1.0,1
10,biological_unit_id,001-0025,5,5,1.0,1
12,biological_unit_id,001-0025,5,5,1.0,1
15,biological_unit_id,001-0025,5,5,1.0,1
20,biological_unit_id,001-0025,5,4,0.8,1
25,biological_unit_id,001-0025,5,4,0.8,1
30,biological_unit_id,001-0025,5,3,0.6,1
5,biological_unit_id,001-0031,5,5,1.0,1
7,biological_unit_id,001-0031,5,5,1.0,1
10,biological_unit_id,001-0031,5,5,1.0,1
12,biological_unit_id,001-0031,5,5,1.0,1
15,biological_unit_id,001-0031,5,5,1.0,1
20,biological_unit_id,001-0031,5,4,0.8,1
25,biological_unit_id,001-0031,5,3,0.6,1
30,biological_unit_id,001-0031,5,1,0.2,1
5,biological_unit_id,001-0033,5,5,1.0,1
7,biological_unit_id,001-0033,5,5,1.0,1
10,biological_unit_id,001-0033,5,5,1.0,1
12,biological_unit_id,001-0033,5,5,1.0,1
15,biological_unit_id,001-0033,5,5,1.0,1
20,biological_unit_id,001-0033,5,4,0.8,1
25,biological_unit_id,001-0033,5,4,0.8,1
30,biological_unit_id,001-0033,5,3,0.6,1
5,biological_unit_id,001-0035,5,5,1.0,1
7,biological_unit_id,001-0035,5,5,1.0,1
10,biological_unit_id,001-0035,5,5,1.0,1
12,biological_unit_id,001-0035,5,5,1.0,1
15,biological_unit_id,001-0035,5,5,1.0,1
20,biological_unit_id,001-0035,5,4,0.8,1
25,biological_unit_id,001-0035,5,4,0.8,1
