outer_fold_id,held_out_source_id,model_id,target_count,observation_count,measurement_batch_count,primary_metric_status,mean_spearman,mean_mae,mean_rmse
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,CONSTANT_TRAINING_MEAN,7,306,49,UNDEFINED_CONSTANT_PREDICTION,,0.2433964591627166,0.2869863175752558
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,7,306,49,DEFINED,0.684548104956268,0.19246250376708893,0.23466030574866809
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_COMPOSITION_ONLY,7,306,49,DEFINED,0.5644314868804665,0.19835995220000854,0.24672201262902868
T238_OUTER_02,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,CONSTANT_TRAINING_MEAN,7,193,30,UNDEFINED_CONSTANT_PREDICTION,,0.295075442937551,0.33597510011511694
T238_OUTER_02,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,SEQUENCE_RIDGE_FULL,7,193,30,DEFINED,0.7661904761904762,0.18835930841808177,0.2234861241745612
T238_OUTER_02,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,SEQUENCE_RIDGE_COMPOSITION_ONLY,7,193,30,DEFINED,0.7661904761904762,0.19739475783017527,0.23118557433859147
T238_OUTER_03,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,CONSTANT_TRAINING_MEAN,7,40,6,UNDEFINED_CONSTANT_PREDICTION,,0.2810424269602037,0.320645973453082
T238_OUTER_03,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,SEQUENCE_RIDGE_FULL,7,40,6,DEFINED,0.9261904761904761,0.16682417601003366,0.20032155941193563
T238_OUTER_03,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,SEQUENCE_RIDGE_COMPOSITION_ONLY,7,40,6,DEFINED,0.9261904761904761,0.1651801749280117,0.19814184431274504
T238_OUTER_04,PXD064962_UCD_EVENT,CONSTANT_TRAINING_MEAN,7,244,30,UNDEFINED_CONSTANT_PREDICTION,,0.2630087352089243,0.2995843705993157
T238_OUTER_04,PXD064962_UCD_EVENT,SEQUENCE_RIDGE_FULL,7,244,30,DEFINED,0.686509578323097,0.17364375752603137,0.20914906605657968
T238_OUTER_04,PXD064962_UCD_EVENT,SEQUENCE_RIDGE_COMPOSITION_ONLY,7,244,30,DEFINED,0.686509578323097,0.17364593247001234,0.20915122990380342
