outer_fold_id,held_out_laboratory_anchor,model_id,alpha,held_out_inner_batch_id,spearman,selected_alpha
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 4.9:Rep1,1.0,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 4.9:Rep2,0.9428571428571428,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 4.9:Rep3,0.6571428571428571,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 6.1:Rep1,0.7714285714285715,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 6.1:Rep2,0.75,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 6.1:Rep3,0.9,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 6.8:Rep1,0.9285714285714286,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 6.8:Rep2,0.75,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 6.8:Rep3,0.5357142857142857,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 7.7:Rep1,0.8285714285714286,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 7.7:Rep2,0.6785714285714286,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 7.7:Rep3,0.6785714285714286,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 8.9:Rep1,0.8928571428571429,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 8.9:Rep2,0.9285714285714286,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 8.9:Rep3,0.9642857142857143,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:TEMPERATURE:17 °C:Rep1,0.6,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:TEMPERATURE:17 °C:Rep2,0.4857142857142857,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:TEMPERATURE:17 °C:Rep3,0.5,100.0
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,0.01,PMC6592156:TEMPERATURE:30 °C:Rep1,0.9428571428571428,100.0
