canonical_accession,sequence_length,estimated_molecular_mass_da,hydrophobic_fraction,aromatic_fraction,acidic_fraction,basic_fraction,cysteine_fraction,proline_fraction,mean_kyte_doolittle,aa_fraction_A,aa_fraction_C,aa_fraction_D,aa_fraction_E,aa_fraction_F,aa_fraction_G,aa_fraction_H,aa_fraction_I,aa_fraction_K,aa_fraction_L,aa_fraction_M,aa_fraction_N,aa_fraction_P,aa_fraction_Q,aa_fraction_R,aa_fraction_S,aa_fraction_T,aa_fraction_V,aa_fraction_W,aa_fraction_Y
O00151,329,36071.713499999998,0.35866261398176291,0.057750759878419454,0.11550151975683891,0.1398176291793313,0.024316109422492401,0.069908814589665649,-0.52188449848024321,0.0729483282674772,0.024316109422492401,0.0364741641337386,0.079027355623100301,0.030395136778115502,0.066869300911854099,0.030395136778115502,0.042553191489361701,0.066869300911854099,0.069908814589665649,0.0182370820668693,0.057750759878419454,0.069908814589665649,0.045592705167173252,0.042553191489361701,0.079027355623100301,0.066869300911854099,0.0729483282674772,0.0060790273556231003,0.021276595744680851
O00187,686,75702.363299999997,0.4067055393586006,0.11078717201166181,0.11807580174927114,0.11516034985422741,0.039358600583090382,0.065597667638483959,-0.28294460641399422,0.064139941690962099,0.039358600583090382,0.056851311953352766,0.061224489795918366,0.045189504373177841,0.091836734693877556,0.029154518950437316,0.045189504373177841,0.045189504373177841,0.080174927113702624,0.013119533527696793,0.026239067055393587,0.065597667638483959,0.026239067055393587,0.040816326530612242,0.075801749271137031,0.074344023323615158,0.05393586005830904,0.017492711370262391,0.048104956268221574
O00264,195,21671.158100000001,0.37435897435897436,0.087179487179487175,0.20000000000000001,0.13333333333333333,0.010256410256410256,0.066666666666666666,-0.56358974358974356,0.076923076923076927,0.010256410256410256,0.11282051282051282,0.087179487179487175,0.05128205128205128,0.082051282051282051,0.015384615384615385,0.02564102564102564,0.061538461538461542,0.11794871794871795,0.010256410256410256,0.015384615384615385,0.066666666666666666,0.02564102564102564,0.056410256410256411,0.056410256410256411,0.046153846153846156,0.046153846153846156,0.0051282051282051282,0.030769230769230771
O00299,241,26922.727999999999,0.42738589211618255,0.087136929460580909,0.14522821576763487,0.12448132780082988,0.024896265560165973,0.058091286307053944,-0.28381742738589216,0.082987551867219914,0.024896265560165973,0.049792531120331947,0.095435684647302899,0.049792531120331947,0.053941908713692949,0.012448132780082987,0.029045643153526972,0.074688796680497924,0.12448132780082988,0.0082987551867219917,0.053941908713692949,0.058091286307053944,0.033195020746887967,0.037344398340248962,0.041493775933609957,0.062240663900414939,0.070539419087136929,0.0041493775933609959,0.033195020746887967
O00410,1097,123629.9362,0.4649042844120328,0.074749316317228809,0.1431175934366454,0.11212397447584321,0.023701002734731084,0.041932543299908843,-0.13363719234275298,0.088422971741112119,0.023701002734731084,0.061987237921604377,0.081130355515041025,0.038286235186873289,0.043755697356426621,0.026435733819507749,0.054694621695533276,0.053783044667274384,0.11759343664539654,0.038286235186873289,0.043755697356426621,0.041932543299908843,0.063810391978122147,0.031905195989061073,0.051048313582497722,0.035551504102096627,0.067456700091157701,0.011850501367365542,0.024612579762989972
O15145,178,20546.670999999998,0.398876404494382,0.11235955056179775,0.11797752808988764,0.14606741573033707,0.02247191011235955,0.073033707865168537,-0.60505617977528092,0.056179775280898875,0.02247191011235955,0.050561797752808987,0.06741573033707865,0.050561797752808987,0.050561797752808987,0.0056179775280898875,0.061797752808988762,0.10112359550561797,0.084269662921348312,0.033707865168539325,0.056179775280898875,0.073033707865168537,0.056179775280898875,0.039325842696629212,0.050561797752808987,0.050561797752808987,0.028089887640449437,0.011235955056179775,0.050561797752808987
O75083,606,66193.523000000001,0.40759075907590758,0.095709570957095716,0.11221122112211221,0.13531353135313531,0.019801980198019802,0.036303630363036306,-0.23811881188118814,0.062706270627062702,0.019801980198019802,0.074257425742574254,0.037953795379537955,0.034653465346534656,0.097359735973597358,0.039603960396039604,0.056105610561056105,0.066006600660066,0.064356435643564358,0.013201320132013201,0.037953795379537955,0.036303630363036306,0.028052805280528052,0.029702970297029702,0.092409240924092403,0.052805280528052806,0.095709570957095716,0.018151815181518153,0.042904290429042903
O75531,89,10058.575499999999,0.42696629213483145,0.10112359550561797,0.16853932584269662,0.16853932584269662,0.0449438202247191,0.02247191011235955,-0.36629213483146067,0.06741573033707865,0.0449438202247191,0.078651685393258425,0.0898876404494382,0.06741573033707865,0.10112359550561797,0.011235955056179775,0.011235955056179775,0.10112359550561797,0.11235955056179775,0.02247191011235955,0.011235955056179775,0.02247191011235955,0.033707865168539325,0.056179775280898875,0.033707865168539325,0.033707865168539325,0.06741573033707865,0.02247191011235955,0.011235955056179775
P00387,301,34234.857599999996,0.42524916943521596,0.093023255813953487,0.11295681063122924,0.14950166112956811,0.013289036544850499,0.089700996677740868,-0.17973421926910302,0.043189368770764118,0.013289036544850499,0.063122923588039864,0.049833887043189369,0.049833887043189369,0.069767441860465115,0.036544850498338874,0.073089700996677748,0.053156146179401995,0.10963455149501661,0.036544850498338874,0.019933554817275746,0.089700996677740868,0.036544850498338874,0.059800664451827246,0.049833887043189369,0.046511627906976744,0.05647840531561462,0.0099667774086378731,0.033222591362126248
P00403,227,25565.0196,0.51982378854625555,0.1013215859030837,0.096916299559471369,0.070484581497797363,0.013215859030837005,0.066079295154185022,0.4603524229074889,0.061674008810572688,0.013215859030837005,0.048458149779735685,0.048458149779735685,0.04405286343612335,0.048458149779735685,0.02643171806167401,0.096916299559471369,0.017621145374449341,0.14537444933920704,0.04405286343612335,0.030837004405286344,0.066079295154185022,0.030837004405286344,0.02643171806167401,0.04405286343612335,0.092511013215859028,0.057268722466960353,0.017621145374449341,0.039647577092511016
