Entry	Entry Name	Gene Names	RefSeq
Q96PD5	PGRP2_HUMAN	PGLYRP2 PGLYRPL PGRPL UNQ3103/PRO10102	NP_001350475.1 [Q96PD5-2];NP_443122.3 [Q96PD5-1];
Q96PK6	RBM14_HUMAN	RBM14 SIP	NP_001185765.1 [Q96PK6-2];NP_001185766.1 [Q96PK6-4];NP_001185774.1 [Q96PK6-5];NP_006319.1 [Q96PK6-1];
Q96PY5	FMNL2_HUMAN	FMNL2 FHOD2 KIAA1902	NP_443137.2 [Q96PY5-3];
Q96RW7	HMCN1_HUMAN	HMCN1 FIBL6	NP_114141.2 [Q96RW7-1];XP_011508340.1 [Q96RW7-2];
Q99459	CDC5L_HUMAN	CDC5L KIAA0432 PCDC5RP	NP_001244.1;
Q99490	AGAP2_HUMAN	AGAP2 CENTG1 KIAA0167	NP_001116244.1 [Q99490-1];NP_055585.1 [Q99490-2];
Q99536	VAT1_HUMAN	VAT1	NP_006364.2 [Q99536-1];
Q99615	DNJC7_HUMAN	DNAJC7 TPR2 TTC2	NP_001138238.1 [Q99615-2];NP_003306.3 [Q99615-1];XP_011523469.1 [Q99615-2];XP_011523471.1 [Q99615-2];XP_016880483.1 [Q99615-2];XP_054173014.1 [Q99615-2];XP_054173015.1 [Q99615-2];XP_054173016.1 [Q99615-2];
Q99704	DOK1_HUMAN	DOK1	NP_001184189.1 [Q99704-3];NP_001305795.1 [Q99704-3];NP_001305797.1 [Q99704-2];NP_001372.1 [Q99704-1];
Q99729	ROAA_HUMAN	HNRNPAB ABBP1 HNRPAB	NP_001424886.1 [Q99729-2];NP_001424887.1 [Q99729-3];NP_004490.2 [Q99729-3];NP_112556.2 [Q99729-2];
